0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Table 2,,,,,,,,,,,,,,
,"Incidence of pulmonary tuberculosis in Shandong, China, 2005–2017.",,,,,,,,,,,,,
,,,,,,,,,,,,,,∗
,,,,,,"Incidence per 100,000 population",,,,,,,,"(%)
Change"
,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2005–2017
Total,40.80,41.85,43.55,45.55,43.42,41.40,37.78,37.31,36.03,33.26,30.94,27.55,26.39,–35.31%
Sex,,,,,,,,,,,,,,
Male,56.28,57.50,60.33,62.77,60.10,57.98,52.83,52.54,50.70,46.56,44.22,38.83,37.19,–33.92%
Female,24.86,25.75,26.31,27.88,26.29,24.33,22.28,21.60,20.91,19.50,17.20,15.89,15.23,–38.73%
"Age groups, yr",,,,,,,,,,,,,,
<18,7.70,6.72,6.39,4.93,5.41,3.72,3.93,4.04,4.60,4.75,4.50,3.58,3.77,–51.08%
18–34,41.04,44.42,46.20,51.60,49.40,48.40,44.71,43.31,42.65,40.79,36.70,34.82,33.42,–18.55%
35–60,40.84,41.32,40.83,42.56,41.08,39.93,36.48,36.16,34.51,31.79,29.13,25.60,24.48,–40.07%
>60,92.81,87.23,92.14,91.01,82.01,76.31,67.18,66.61,62.34,55.91,53.88,46.77,45.84,–50.61%
Patients type,,,,,,,,,,,,,,
Smear-positive PTB,33.23,32.59,30.51,29.34,27.45,25.30,18.46,14.39,13.09,9.06,7.81,7.14,6.41,–80.72%
Smear-negative PTB,7.57,9.25,13.04,16.21,15.97,16.10,19.32,22.92,22.94,24.21,23.13,20.41,19.98,164.13%
Treatment history,,,,,,,,,,,,,,
New case,35.69,37.26,38.93,40.74,38.85,37.22,34.34,34.85,33.78,31.81,29.65,26.42,25.38,–28.89%
Relapse case,5.11,4.58,4.62,4.81,4.58,4.18,3.45,2.47,2.25,1.45,1.29,1.13,1.01,–80.24%
"Geographical
location",,,,,,,,,,,,,,
Jinan,29.12,29.32,31.79,34.82,32.24,31.77,28.95,32.19,31.95,30.32,29.13,27.50,25.56,–12.24%
Dezhou,49.78,50.32,49.87,52.78,47.98,39.93,39.88,38.41,36.58,30.40,28.91,22.85,19.87,–60.08%
Jining,43.76,42.93,43.97,44.07,42.19,42.15,34.70,33.73,30.38,28.65,25.48,22.94,20.95,–52.13%
Linyi,56.19,54.34,58.61,59.26,58.06,53.70,49.87,47.95,48.16,43.61,41.23,35.75,35.33,–37.13%
Weifang,28.90,32.22,32.36,34.80,32.24,33.43,29.94,29.63,30.17,29.65,26.41,24.14,25.39,–12.17%
Yaitai,31.65,37.86,39.48,43.58,42.88,41.05,38.66,38.46,34.38,31.97,30.26,28.44,26.00,–17.84%
PTB = pulmonary tuberculosis.,,,,,,,,,,,,,,
