0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
,,,,,,,,,,,,,,,,,,,,,,,,,Determinant of Viral Richness of African Bats,,,,,,,,,
,,N6ofpositive,0,-,-,0,0,0,-,-,0,-,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0
,Ebolavirus,N6oftested,31,-,-,521,233,1,-,-,186,-,15,187,-,-,-,-,-,-,-,-,-,295,19,81,2,28,3,533,160,12,4,1
,,N6ofpositive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0
,Marburgvirus,N6oftested,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,295,19,81,2,28,3,533,160,12,4,1
,,N6ofpositive,0,0,0,0,1,0,0,0,0,0,0,1,2*,0,0,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0
,"avivirus
l",N6oftested,29,32,140,498,227,14,16,37,179,98,15,305,128,74,20,100,136,,,,,295,19,81,,28,,533,160,12,,
,F,,,,,,,,,,,,,,,,,,,5,-,-,-,,,,2,,3,,,,4,1
,,N6ofpositive,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,2*,0,0,0,0
,Coronavirus,N6oftested,23,48,358,387,228,40,47,43,52,220,15,492,286,42,5,129,286,2,18,15,-,295,19,81,2,28,3,533,160,12,4,1
,,"Totalofsamples
collected",31,60,498,540,234,43,50,47,190,243,15,582,393,94,20,273,589,5,32,15,58,295,19,81,2,28,3,533,160,12,4,1
Table3.Samplesusedforviralscreening.,,Species,Coleuraafra,Eidolonhelvum,Epomopsfranqueti,"pposideroscf.ruber
i","pposiderosgigas
i",Hypsignathusmonstrosus,Megaloglossuswoermanni,Micropteropuspusillus,Miniopterusinflatus,Myonycteristorqutata,Rhinolophuscf.alcyone,Rousettusaegyptiacus,Epomopsfranqueti,Hypsignathusmonstrosus,Megaloglossuswoermanni,Micropteropuspusillus,Myonycteristorquata,Rousettusaegyptiacus,Eidolonhelvum,Epomophorusgambianus,Rousettusaegyptiacus,Eidolonhelvum,Epomophorusgambianus,Epomopsfranqueti,Hipposiderosgigas,Hypsignathusmonstrosus,Megaloglossuswoermanni,"cropteropuspusillus
i",Mopscondylurus,Myonycteristorquata,Neoromiciatenuipinnis,Rousettusaegyptiacus
,,Samplingsite,,,,H,H,,,,,,,,,,,,,,,,,,,,,,,M,,,,
PLOS ONE,,| www.plosone.org,Gabon,,,,,,,,,,,,Congo,5,,,,,Senegal,,,RCA,June 2014 | Volume 9 |,,,,,,,Issue 6 | e100172,,
