0,1,2
,Table 1: Overview of the composition of bispeciﬁc adapters used to reroute viruses for oncolytic purposes.,
Adaptor protein moiety binding to,,
,,Targeting demonstrated for
Virion,Cell,
,,Adenovirus
Antibody (scFv or Fab),Antibody (scFv or Fab),Adenoassociated virus
,,Coronavirus
,,Adenovirus
Antibody (scFv or Fab),Ligand peptide,
,,Paramyxovirus
,,Adenovirus
Soluble/pseudo receptor,Antibody (scFv or Fab),Herpesvirus
,,Coronavirus
,,Adenovirus
Soluble/pseudo receptor,Ligand peptide,
,,Coronavirus
Polymer,Antibody (scFv or Fab),Adenovirus
Polymer,Ligand peptide,Adenovirus
