0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Table 3 Assessmenta of medicinal plants based on peer-reviewed referencesb of the last 20 years aiming gastrointestinal,,,,,,,,,,,,,,,,,,indicationsc,,
Plant species,Number of,Type of,Antibacterial,,,Synergism,,,Antiviral,,Anti,,,Anti,,,Anti,"Spasmolytic
Immuno","Antiin
Analgesic",Hypothesis
,references,reference,,,,with AB,,,,,,protozoal,,,adhesive,,diarrheal,stimulant,flammatory,proved
,,,"+
?",o,+,?,o,+,?,o,+,?,o,+,?,o,"+
?","o
+
?
o
+
?
o
+","?
o
+
?
o
+","?
o"
Achillea millefolium L.,6,in vitro,21,,,,,,,,,,,,,,,42,,
,2,in vivo +,,13,,,,,,,,,,,,,,14,,
,,clinical,,,,,,,,,,,,,,,,,,
Allium sativum L.,12,in vitro,125,,16,,,,,,,,,,,,,,,
,9,in vivo +,27,18,,,,,,,29,,,,,,210,"111
112",213,
,,clinical,,,,,,,,,,,,,,,,,,
Althaea officinalis L.,2,in vitro,214,,,,,,,,,,,,,,,,,
,0,in vivo +,,,,,,,,,,,,,,,,,,
,,clinical,,,,,,,,,,,,,,,,,,
Camellia sinensis (L.),8,in vitro,615,,116,,,,,,,,,,,117,,118,,
KUNTZE,,,,,,,,,,,,,,,,,,,,
,3,in vivo +,219,,,,,,,,,,,,,,220,,,
,,clinical,,,,,,,,,,,,,,,,,,
Carum carvi L.,4,in vitro,321,,,,,,,,,,,,,,,122,,
,1,in vivo +,,,,,,,,,,,,,,,,123,,
,,clinical,,,,,,,,,,,,,,,,,,
Echinacea purpurea,0,In vitro,,,,,,,,,,,,,,,,,,
(L.) MOENCH,,,,,,,,,,,,,,,,,,,,
,1,in vivo +,,124,,,,,,,,,,,,,,,,
,,clinical,,,,,,,,,,,,,,,,,,
Foeniculum vulgare,10,in vitro,625,"126
127",128,,,,,,,,129,,,,,130,,
(L.) MILL.,,,,,,,,,,,,,,,,,,,,
,2,in vivo +,,,,,,,,,,,,,,,,131,,132
,,clinical,,,,,,,,,,,,,,,,,,
Glycyrrhiza glabra L.,9,in vitro,433,234,,,,135,,,,,,,,,,"136
137",,
,4,in vivo +,238,,,,,,,,,,,,,,,139,140,
,,clinical,,,,,,,,,,,,,,,,,,
Linum usitatissimum L.,0,in vitro,,,,,,,,,,,,,,,,,,
,3,in vivo +,,,,,,,,,,,,,,,141,142,143,144
,,clinical,,,,,,,,,,,,,,,,,,
Matricaria recutita L.,9,in vitro,545,,,,,,,,,,,,,,,446,,
,3,in vivo +,,,,,,,,,,,,,,,247,,148,
,,clinical,,,,,,,,,,,,,,,,,,
