0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Table 1,,,,,,,,,,,,,,,
,Number of cases of total knee replacement (TKR),,,,from 1996 to 2010.,,,,,,,,,,
Year,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
,5303,5540,5764,6387,7178,8242,9480,8787,10573,11275,12000,14495,15533,16628,17368
,(24.64),(25.48),(26.29),(28.91),(32.22),(36.79),(42.09),(38.87),(46.60),(49.52),(52.46),(63.14),(67.42),(71.92),(74.55)
Gender,,,,,,,,,,,,,,,
Female,3802,4107,4241,4699,5311,6126,7019,6485,7920,8493,9061,10927,11744,12477,12952
,(36.35),(38.82),(39.69),(43.59),(48.79),(55.87),(63.60),(58.48),(71.05),(75.78),(80.29),(96.28),(102.92),(108.66),(112.36)
Male,1501,1433,1523,1688,1867,2116,2461,2302,2653,2782,2939,3568,3789,4151,4316
,(13.56),(12.84),(13.55),(14.92),(16.39),(18.49),(21.43),(19.99),(22.99),(24.06),(25.35),(30.74),(32.59),(35.67),(37.09)
Age,,,,,,,,,,,,,,,
,66.34 ± 8.66,66.72 ± 8.59,67.24 ± 8.12,67.22 ± 8.05,68.22 ± 7.97,68.15 ± 8.12,68.60 ± 8.13,68.42 ± 8.39,68.85 ± 8.31,68.83 ± 8.19,69.30 ± 8.21,69.44 ± 8.32,69.42 ± 8.29,69.79 ± 8.26,69.97 ± 8.29
Age group,,,,,,,,,,,,,,,
<50,182,162,131,145,135,179,172,201,186,176,172,220,218,226,216
,(1.04),(0.92),(0.74),(0.82),(0.76),(1.02),(0.98),(1.16),(1.08),(1.03),(1.01),(1.31),(1.31),(1.37),(1.33)
50–59,733,726,696,771,783,846,973,971,1094,1231,1258,1539,1671,1666,1654
,(44.28),(43.02),(39.84),(42.24),(40.91),(41.24),(44.52),(41.81),(44.18),(46.08),(43.93),(51.23),(53.25),(51.21),(49.33)
60–69,2417,2494,2600,2880,2911,3324,3619,3244,3956,4165,4214,5050,5377,5641,5792
,(175.05),(179.23),(185.93),(204.12),(203.91),(230.02),(247.04),(217.94),(262.78),(278.49),(280.29),(328.45),(336.79),(336.81),(328.32)
70–79,1782,1945,2069,2294,2937,3449,4113,3793,4552,4873,5333,6283,6828,7366,7638
,(227.31),(234.83),(236.01),(249.26),(305.69),(348.39),(406.08),(366.89),(432.30),(456.73),(461.52),(505.07),(513.74),(519.08),(505.76)
≥80,189,213,268,297,412,444,603,578,785,830,1023,1403,1439,1729,1968
,(80.2),(84.91),(100.81),(105.42),(136.66),(135.64),(170.85),(153.43),(194.73),(190.97),(216.89),(279.67),(268.84),(303.32),(325.32)
Numbers in parentheses:,,"the incidence rate of TKR (per 100,000 people).",,,,,,,,,,,,,
