0,1,2,3,4,5,6,7,8
Table 4 ERV3 and respiratory virus positive samples detected by polymerase chain reaction assays in 3366 parent collected nasal swab specimens,,,,,,,,
Variable,,No. samples (%),,ERV3 Positive,,,Respiratory virus positive,
,,,No. samples (%),Univariate,*Multivariate,No. samples (%),Univariate,*Multivariate
,,,,OR (95% CI); P value,OR (95%); P value,,OR (95% CI); P value,OR (95%); P value
Age (months),< 6,1293 (38.4%),995 (77.0),1,1,208 (16.1),1,1
,6- <12,1295 (38.5%),1061 (81.9),1.20 (0.94-1.53); 0.15,1.28 (0.98-1.68); 0.07,411 (31.7),2.59 (2.07-3.24); <0.001,2.38 (1.89-3.01); <0.001
,≥12,778 (23.1%),662 (85.1),1.49 (1.06-2.10); 0.02,1.93 (1.27-2.93); 0.002,266 (34.2),2.98 (2.26-3.92); <0.001,2.16 (1.57-2.99); <0.001
Gender,Male,1647 (48.9%),1335 (81.1),1,1,461 (28.1),1,1
,Female,1719 (51.06%),1383 (80.4),0.81 (0.54-1.22); 0.32,0.87 (0.58-1.29); 0.48,424 (24.7),0.82 (0.60-1.12); 0.21,0.83 (0.61-1.12); 0.23
Collector,Mother,2845 (84.5%),2307 (81.1),1,1,766 (26.9),1,1
,Father,441 (13.1%),342 (77.6),0.91 (0.66-1.27); 0.60,0.87 (0.62-1.22); 0.42,109 (24.7),0.94 (0.70-1.26); 0.67,0.88 (0.65-1.19); 0.41
,Research staff,45 (1.3%),40 (88.9),2.71 (1.00-7.36); 0.05,1.76 (0.65-4.81); 0.27,3 (6.7),0.24 (0.07-0.79); 0.02,0.36 (0.11-1.21); 0.10
,Other,35 (1.0%),29 (82.9),1.31 (0.49-3.51); 0.59,1.39 (0.46-4.16); 0.56,7 (20.0),0.72 (0.30-1.74); 0.47,0.87 (0.35-2.13); 0.76
Season,Summer,926 (27.5%),729 (78.7),1,1,178 (19.2),1,1
,Autumn,1059 (31.5%),802 (75.7),0.90 (0.71-1.13); 0.37,0.74 (0.58-0.96); 0.02,304 (28.7),1.99 (1.59-2.49); <0.001,1.74 (1.38-2.20); <0.001
,Winter,541 (16.1%),482 (89.1),2.63 (1.87-3.70); <0.001,2.41 (1.67-3.49); <0.001,198 (36.6),3.06 (2.36-3.97); <0.001,2.63 (2.01-3.45); <0.001
,Spring,840 (25.0%),705 (83.9),1.39 (1.07-1.79); 0.01,1.50 (1.13-1.99); 0.005,205 (24.4),1.27 (1.00-1.61); 0.05,1.43 (1.11-1.84); 0.005
Mould,None,2604 (77.4%),2189 (84.1),1,1,707 (27.2),1,1
,Low,411 (12.2%),308 (74.9),0.47 (0.36-0.62); <0.001,0.69 (0.52-0.93); 0.01,97 (23.6),0.73 (0.56-0.95); 0.02,0.81 (0.61-1.07); 0.14
,Medium,252 (7.5%),163 (64.7),0.27 (0.20-0.37); <0.001,0.47 (0.33-0.66); <0.001,60 (23.8),0.70 (0.50-0.96); 0.03,0.70 (0.49-0.99); 0.05
,High,99 (2.9%),58 (58.6),0.20 (0.13-0.33); <0.001,0.40 (0.24-0.66); <0.001,21 (21.2),0.57 (0.34-0.96); 0.04,0.53 (0.31-0.93); 0.03
Time to reach,0-3,2281 (67.8%),1983 (86.9),1,1,587 (25.7),1,1
Laboratory (days),,,,,,,,
,4-7,723 (21.5%),513 (71.0),0.32 (0.25-0.40); <0.001,0.39 (0.30-0.50); <0.001,187 (25.9),0.96 (0.78-1.18); 0.69,1.03 (0.82-1.29);0.80
,>7,362 (10.8%),222 (61.3),0.17 (0.13-0.24); <0.001,0.24 (0.17-0.34); <0.001,111 (30.7),1.16 (0.89-1.52); 0.28,1.42 (1.05-1.94); 0.02
*Adjusted for all variables in the Table.,,,,,,,,
