0,1,2,3,4,5,6,7,8,9,10,11,12,13
Table 1   Characteristics of ILI patients positive at least one pathogen and the distribution at different age groups among 3 316 patients with ILI,,,,,,,,,,,,,
Characteristics,Flu A,Flu B,Flu C,RSV,ADV,HRV,hCoV-229E,hCoV-OC43,,hCoV-NL63 hCoV-HKU1,HSV,,S. pneumoniae H. influenzae
Male [n (%)],,,,,,,,,,,,,
,110 (6.34),47 (2.71),6 (0.35),72 (4.15),77 (4.44),109 (6.29),10 (0.57),21 (1.21),33 (1.90),2 (0.12),46 (2.65),268 (15.46),189 (10.90)
(n=1734),,,,,,,,,,,,,
Female [n (%)],,,,,,,,,,,,,
,99 (6.26),37 (2.34),7 (0.44),61 (3.86),63 (3.98),102 (6.45),4 (0.25),26 (1.64),28 (1.77),11 (0.70),52 (3.29),226 (14.29),158 (9.99)
(n=1582),,,,,,,,,,,,,
Age*(Median) (IQR),7 (3−43),7 (4−27),4.5 (3−34),2 (1−4),3 (2−6),3 (1.3−7),4 (1−35),4 (1−19),3 (1−6),1 (1−2),5 (2−25),1 (1.5−6),6 (2−28)
<6 months [n (%)],,,,,,,,,,,,,
,3 (4.35),0 (0.00),1 (1.45),6 (8.70),2 (2.90),9 (13.04),1 (1.45),2 (2.90),1 (1.45),0 (0.00),2 (2.90),16 (23.18),2 (2.90)
(n=69),,,,,,,,,,,,,
6−11 months [n (%)],,,,,,,,,,,,,
,5 (2.96),1 (0.59),0 (0.00),13 (7.69),8 (4.73),16 (9.47),0 (0.00),3 (1.77),3 (1.77),1 (0.59),2 (1.18),32 (18.93),15 (8.87)
(n=169),,,,,,,,,,,,,
12−35 months [n (%)],,,,,,,,,,,,,
,33 (4.60),10 (1.39),1 (0.14),54 (7.53),49 (6.83),65 (9.06),5 (0.70),11 (1.53),24 (3.35),8 (1.12),22 (3.07),139 (19.38),80 (11.16)
(n=717),,,,,,,,,,,,,
3−5 years [n (%)],,,,,,,,,,,,,
,57 (7.97),16 (2.24),5 (0.70),44 (6.15),38 (5.31),54 (7.55),1 (0.14),15 (2.10),14 (1.96),2 (0.28),25 (3.50),172 (24.05),72 (10.07)
(n=715),,,,,,,,,,,,,
6−9 years [n (%)],,,,,,,,,,,,,
,22 (8.91),26 (10.53),0 (0.00),5 (2.02),20 (8.10),21 (8.50),0 (0.00),2 (0.81),4 (1.62),0 (0.00),9 (3.64),46 (18.62),37 (14.98)
(n=247),,,,,,,,,,,,,
10−14 years [n (%)],,,,,,,,,,,,,
,5 (6.67),5 (6.67),0 (0.00),2 (2.67),5 (6.67),5 (6.67),0 (0.00),0 (0.00),0 (0.00),0 (0.00),4 (5.33),12 (16.00),7 (9.33)
(n=75),,,,,,,,,,,,,
15−49 years [n (%)],,,,,,,,,,,,,
,62 (6.06),19 (1.86),6 (0.59),5 (0.49),17 (1.6),34 (3.32),4 (0.39),13 (1.27),13 (1.27),1 (0.10),26 (2.54),63 (6.16),110 (10.75)
(n=1 023),,,,,,,,,,,,,
50−64years) [n (%)],,,,,,,,,,,,,
,17 (8.85),6 (3.13),0 (0.00),1 (0.52),0 (0.00),6 (3.13),2 (1.04),0 (0.00),1 (0.52),1 (0.52),3 (1.56),8 (4.17),14 (7.29)
(n=192),,,,,,,,,,,,,
≥65 years [n (%)],,,,,,,,,,,,,
,5 (4.59),1 (0.92),0 (0.00),3 (2.75),1 (0.92),1 (0.92),1 (0.92),1 (0.92),1 (0.92),0 (0.00),5 (4.59),6 (5.50),10 (9.17)
(n=109),,,,,,,,,,,,,
Tatol [n (%)],,,,,,,,,,,,,
,209 (6.30),84 (2.53),13 (0.39),133 (4.01),140 (4.22),211 (6.36),14 (0.42),47 (1.42),61 (1.84),13 (0.39),98 (3.00),494 (14.90),347 (10.46)
(n=3 316),,,,,,,,,,,,,
