0,1,2,3,4,5,6,7,8,9,10,11,12,13
,Table 1. Serum chemistry. Data from a comprehensive metabolic panel describing the chemical enzyme,,,,,,,,,,,,
,"changes for individual pigs, days post infection (d.p.i).",,,,,,,,,,,,
Serum Chemistry,,Control/PBS (d.p.i),,,,Ad5∆E3-Luc (d.p.i),,,,Ad5/3∆E3-Luc (d.p.i),,,Reference
Measurement,0,2,4,7,0,2,4,7,0,2,4,7,Range
Glucose (mg/dL),136,104,99,97,108,150,88,94,111,120,92,90,85–150
SDH (U/L),35.3,4.8,3.4,22.3,12.6,10.4,8.7,82.6,24.4,8.6,18.8,12.6,0–45
Total Bilirubin (mg/dL),0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0–1
Cholesterol (mg/dL),91,71,78,88,72,83,89,80,102,106,110,94,36–54
Total protein (g/dL),5.3,5.6,5.5,5.6,4.5,5.1,5.3,5.6,5.5,5.1,5.6,5.6,7.9–8.9
Albumin (g/dL),3.5,3.7,3.9,4,3.3,3.7,3.7,4,3.5,3.3,3.6,3.7,1.9–3.3
Urea N (mg/dL),10,14,9,9,7,11,7,9,6,12,8,8,10–30
Creatinine (mg/dL),0.9,0.9,0.7,0.8,0.6,0.6,0.5,0.7,0.8,0.8,0.6,0.6,1.0–2.7
Phosphorous (mg/dL),9.1,8,7.3,6.9,9,8.6,7.9,9.1,8.9,8.4,8.1,8.5,5.3–9.6
Calcium (mg/dL),10.2,11.1,10.5,10.7,10.4,10.8,10.4,11.2,10.7,10.4,10.9,10.6,7.1–11.6
Sodium (mmol/L),142,145,144,142,142,145,143,142,142,145,143,141,135–150
Potassium (mmol/L),3.8,4,4.3,3.8,3.9,4.9,4,4,3.7,4.5,4.1,4,4.4–6.7
Chloride (mmol/L),104,109,107,102,105,102,103,97,102,105,103,98,94–106
Bicarbonate (mmol/L),29,27,31,32,32,33,32,25,31,32,31,36,18–27
CK (U/L),466,1082,1567,2103,1035,732,1247,1078,513,531,2761,1049,61–1251
Gamma-GT (U/L),42,38,40,43,40,33,33,39,30,27,35,35,10–60
Globulin (g/dL),1.8,1.9,1.6,1.6,1.2,1.4,1.6,1.6,2,1.8,2,1.9,5.3–6.4
A/G Ratio,1.9,1.9,2.4,2.5,2.8,2.6,2.3,2.5,1.8,1.8,1.8,1.9,0.37–0.51
Urea/Creat ratio,11.1,15.6,12.9,11.3,11.7,18.3,14,12.9,7.5,15,13.3,13.3,N/A
ALP (VALKP) (U/L),221,205,195,187,259,190,164,203,250,167,190,197,118–395
ALT (GPT) (U/L),59,61,70,75,68,61,64,77,72,60,74,81,31–58
AST (GOT) (U/L),37,47,65,56,61,38,54,56,43,33,83,51,32–84
LDH (VLDH) (U/L),706,654,640,683,654,615,728,756,693,501,782,536,380–634
Triglycerides (VTRIG),37,45,37,65,29,53,55,76,49,40,35,57,N/A
