0,1,2,3,4
Mediators of Inflammation,,,,3
,Table 1: MBL deficiency and susceptibility to diseases (human and animal studies).,,,
Bacterial infections,Viral infections,Parasitic infections,Fungal infections,Miscellaneous
,,(i) Plasmodium,,
(i) Streptococcus pneumoniae,(i) CMV,,(i) Candida spp,(i) Recurrent respiratory infections
,,falciparum,,
,,(ii) Cryptosporidium,,(ii) Chemotherapy-induced febrile
(ii) Neisseria meningitidis,(ii) Coronavirus,,(ii) Aspergillus spp.,
,,parvum,,neutropenia
(iii) Staphylococcus aureus,(iii) HIV,,,(iii) Systemic lupus erythematosus
(iv) Pseudomonas aeruginosa,(iv) HCV,,,(iv) Chronic renal failure
(v) Escherichia coli,(v) HBV,,,(v) Cystic fibrosis
(vi) Legionella spp.,(vi) HSV,,,
