0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
,,,,,,,,,,,,,,,,,Selection of Diagnostic Antigens by Microarray,,,,
,Table 2. Peptides with diagnostic potential,,,,,,,identified on microarray.,,,,,,,,,,,,,
,"E
.
m
.","E
.
m
.","E
.
m
.","E
.
m",.,"E
.
m",.,"E
.
m
.","E
.
m",.,"E
.
m",.,"E
.
g
.","E
.
g
.","E
.
g
.","E
.
g
.","E
.
g
.","E
.
g
.","E
.
g
.","E
.
g
.","E
.
g
."
Protein,a),a),a),b),,b),,b),c),,c),,d),d),e),e),f),f),f),g),g)
Peptide,,,,,,,,,,,,,,,,,,,,,
name,A8,A9,A10,A4,,A5,,D12,B6,,B9,,C10,D2,D3,D5,D7,D8,D9,D10,D11
Structure,helical,helical,IUR,CC,,CC,,CC,CC,,CC,,helical,helical,IUR,IUR,helical,helical,helical,helical,CC
Em-pool-1,1,1,0,0,,0,,1,1,,0,,0,1,0,1,1,1,0,0,0
Em-pool-2,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0
Em-pool-3,0,0,0,0,,1,,0,0,,0,,0,0,0,0,1,1,0,0,0
Em-pool-4*,1,1,1,0,,0,,1,1,,1,,0,0,1,0,0,1,0,0,1
Eg-pool-1,0,0,0,0,,0,,0,0,,0,,0,0,0,0,1,1,0,1,1
Em-3,0,1,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0
Em-11,0,1,0,0,,0,,0,0,,0,,0,0,0,0,0,1,0,0,0
Em-12,0,0,0,0,,0,,0,0,,0,,0,0,1,0,0,0,0,0,0
Em-23,0,0,0,0,,0,,0,0,,0,,0,0,1,0,0,1,0,0,1
Em-24,0,0,0,0,,0,,1,0,,0,,0,0,0,0,0,0,0,0,0
Em-2,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0
Em-15,0,1,0,0,,0,,1,0,,0,,0,0,0,0,1,0,1,0,1
Em-18,0,0,0,0,,0,,0,0,,0,,1,0,0,0,1,0,0,0,0
Em-34,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0
Em-35,0,0,0,1,,0,,0,0,,0,,0,0,0,0,1,0,0,0,0
,*Data incorporates merged results from repeated assays.,,,,,,,,,,,,,,,,,,,,
,a) EM13 (accession Q07840); b) EmII/3 (accession AAA50580); c) Protoscolex specific coiled-coil protein (accession CAD44854); d) HSP70 (accession Q24789); e) EG19,,,,,,,,,,,,,,,,,,,,
(accession ABI24154);,,f) Antigen B8/1 (accession AAD38373); g) Antigen B8/2 (accession AAC47169).,,,,,,,,,,,,,,,,,,,
1 = positive.,,,,,,,,,,,,,,,,,,,,,
0 = neative.,,,,,,,,,,,,,,,,,,,,,
Em = AE serum.,,,,,,,,,,,,,,,,,,,,,
Eg = CE serum.,,,,,,,,,,,,,,,,,,,,,
doi:10.1371/journal.pntd.0000771.t002,,,,,,,,,,,,,,,,,,,,,
