0,1,2,3,4,5,6,7,8,9
,Table 2  Top ten productive countries on carbapenem publications (1986–2015),,,,,,,,
SCR,Country,Articles,Articles/10,Articles/,Total cita-,Citations/,h-index,Number,Number (%)a
,,"N 
 2469",million,trillion GDP,tion (rank),article (rank),(rank),of col-,of documents
,,=,,,,,,,
,,(%),inhabitants,(rank),,,,laborating,with interna-
,,,(rank),,,,,countries,tional authors
1st,United States,437 (16.70),13.70 (7),25.09 (9),"14,667 (1)",33.56 (4),62 (1),39,145 (33.18)
2nd,China,257 (9.82),1.88 (9),24.83 (10),2069 (9),8.05 (10),23 (7),16,29 (11.28)
3rd,France,217 (8.29),32.77 (2),76.71 (3),7835(3),36.11 (3),45 (3),55,117 (53.92)
4th,United King‑,151 (5.77),23.39 (5),50.52 (8),8909 (2),59.00 (1),49 (2),57,82 (54.92)
,dom,,,,,,,,
5th,Italy,146 (5.58),24.02 (4),68.19 (5),3900 (4),26.71 (7),31 (5),43,44 (30.14)
6th,India,137 (5.24),1.06 (10),66.86 (6),2407 (8),17.57 (8),19 (10),21,16 (11.68)
7th,Brazil,125 (4.78),6.07 (8),51.72 (7),1781 (10),14.25 (9),21 (9),10,22 (17.60)
8th,Spain,118 (4.51),25.39 (3),85.45 (2),3192 (6),27.05 (6),31 (5),36,24 (20.34)
9th,Greece,104 (3.97),95.68 (1),441.43 (1),3778 (5),36.33 (2),37 (4),39,40 (38.46)
10th,South Korea,99 (3.78),19.55 (6),70.21 (4),2896 (7),29.25 (5),23 (7),15,12 (12.12)
,"SCR standard competition ranking, GDP gross domestic product",,,,,,,,
