0,1,2,3
,N Allocati et al,,
Table 1.,Overview of bat-associated infectious agents with zoonotic potential,,
Pathogen,Diseases in human,Bat-to-human transmission has been,Reference
,,observed,
Viruses,,,
Rhabdoviridae,,,
Rabies virus,Acute fatal encephalitis,Yes,Johnson et al.13
European Bat Lyssavirus type 1,Acute fatal encephalitis,Yes,McElhinney et al.14
European Bat Lyssavirus type 2,Acute fatal encephalitis,Yes,McElhinney et al.14
Bokeloh Bat Lyssavirus,,No,Freuling et al.16
West Caucasian Bat virus,,No,Kuzmin et al.18
Lleida Bat Lyssavirus,,No,Aréchiga Ceballos et al.15
Australian Bat Lyssavirus,Acute fatal encephalitis,Yes,Weir et al.19
Aravan virus,,No,Banyard et al.10
Khujand virus,,No,Banyard et al.10
Irkut virus,Acute fatal encephalitis,Yes,Banyard et al.10
Lagos Bat Virus,,No,Banyard et al.10
Duvenhage virus,Acute fatal encephalitis,Yes,Banyard et al.10
Shimoni bat virus,,No,Banyard et al.10
Filoviridae,,,
Ebola virus,Ebola haemorrhagic fever,Yes,Olival and Hayman31
Marburg virus,Marburg haemorrhagic fever,Yes,Olival and Hayman31
Coronaviridae,,,
SARS-CoV,Severe Acute Respiratory Syndrome,"Yes (palm civets, raccoon dogs)a",Drexler et al.23
MERS-CoV,Middle Eastern Respiratory Syndrome,Yes (camels)a,Drexler et al.23
Paramyxoviridae,,,
Nipah virus,Nipah disease (severe encephalitis),Yes (pigs)a,Clayton et al.20
Hendra virus,Hendra disease (fatal respiratory,Yes (horses)a,Clayton et al.20
,disease),,
Orthomyxoviridae,,,
Inﬂuenza A virus,"Respiratory tract
infections",No,Freidl et al.37
Bunyaviridae,,,
Hantaan virus,Fatal hemorrhagic fever,No,Holmes and Zhang39
Reoviridae,,,
Mammalian orthoreovirus,Enteric and respiratory infections,Unclear,Wang et al.42
Bacteria,,,
Bartonella spp.,Endocarditis,Unclear,Veikkolainen et al.54
Pasteurella spp.,Systemic infections,No,Mühldorfer51
Leptospira sp.,Systemic infections,Unclear,Vashi et al.64
Salmonella spp.,Salmonellosis,No,Mühldorfer51
E. coli,"Several
illnesses",No,Mühldorfer51
Fungi,,,
H. capsulatum,Pulmonary and systemic infections,Unclear,Santos et al.71
aVia intermediate host as indicated.,,,
