0,1,2,3,4
,"Table 2  Demographical, clinical and pathogens identified in influenza-like illness residents swabbed in nursing homes,",,,
January–April 2015,,,,
Resident characteristics,All,Influenza A(H3N2),hMPV and hCoV,Negatif
,"N 
 22 (%)","N 
 11 (%)","N 
 2 (%)","N 
 9 (%)"
,=,=,=,=
Age (min–max),86.4 (72–96),87.4 (72–96),88.5 (83–94),84.8 (76–93)
"Gender, Female",18 (81.8 %),10 (91 %),1 (50 %),7 (77.7 %)
Symptoms,,,,
Fever >38 °C,18 (81.8 %),10 (91 %),2 (100 %),6 (66.6 %)
Cough,22 (100 %),11 (100 %),2 (100 %),9 (100 %)
Headache,3 (13.6 %),1 (9.1 %),0,2 (22.2 %)
Dyspnoea,2 (9.1 %),1 (9.1 %),0,1 (11.1 %)
Rhinitis,12 (54.5 %),8 (72.7 %),1 (50 %),3 (33.3 %)
Asthenia,11 (50 %),7 (63.6 %),0,4 (44.4 %)
Conjunctival hyperemia,2 (9.1 %),2 (18.2 %),0,0
Other,6 (27.3 %),4 (36.4 %),0,2 (22.2 %)
Seasonal influenza vaccination 2014–2015,21 (95.5 %),10 (91.0 %),2 (100 %),9 (100 %)
Chronic disease,17 (77.2 %),8 (72.7 %),2 (100 %),7 (77.7 %)
Oseltamivir treatement,0,0,0,0
Antibiotic treatement,8 (36.4 %),4 (36.4 %),2 (100 %),2 (22.2 %)
Influenza-related hospitalization,1 (4.5 %),1 (9 %),0,0
Influenza- related death,2 (9 %),2 (18.2 %),0,0
