0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,positive for,positive,OC43,229E,NL63,
,,,,,,HCoV-,patients with,,,,
,,,,,,HKU1,underlying,,,,
,,,,,,,diseases,,,,
8,[29],Italy,227,Hospitalized children,12 months,0 (0),-,6 (2.6),0 (0),1 (0.4),-
,,,children,with acute respiratory,(Oct 2004 –,,,,,,
,,,,infection or related,Sep 2005),,,,,,
,,,,conditions at the,,,,,,,
,,,,Pediatric Department,,,,,,,
9,[15],Italy,685,Hospitalized patients,7 months (Nov,10 (2.3),8 (80),8 (1.9),20 (4.7),11 (2.6),Not
,,,specimens,with acute respiratory,2005 – May,patients,,patients,patients,patients,mentioned
,,,from  426,tract infections,2006),,,,,,
,,,patients,,,,,,,,
10,[8],Korea,231,Hospitalized children,10 months,0 (0),-,3 (1.3),2 (0.9),3 (1.3),-
,,,children,with acute expiratory,(Feb 2006 –,,,,,,
,,,,wheezing,Nov 2006),,,,,,
11,[9],Thailand,734,Patients hospitalized,Study year 1:,3 (0.4),Not,31 (4.2),3 (0.4),7 (1),Not
,,,patients,with pneumonia,Sep 2003 –,,mentioned,,,,mentioned
,,,1,P,Aug 2004,9,,4,7,1,
,,,156,atients  hospitalized,Study year 2:,(0.8),,(0.4),(0.6),(0.1),
,,,patients,with pneumonia,Sep 2004 –,,,,,,
,,,5,O,Oct 2005,1,,0,2,9,
,,,13,utpatients with,Study year 2:,(0.2),,(0),(0.4),(1.8),
,,,patients,influenza-like illness,Sep 2004 –,,,,,,
,,,,,Oct 2005,,,,,,
12,[21],USA,1043,"Outpatients, emergency",12 months,28 (2.7),Not,19 (1.8),8 (0.8),11 (1.1),Not
,,,children,department patients and,(Oct 2003 –,,mentioned,,,,mentioned
,,,,inpatients with acute,Sep 2004),,,,,,
,,,,respiratory illness,,,,,,,
