0,1,2,3,4,5,6,7,8,9,10,11
years of,,age usually have,some,"comorbidities,",such as,,"of effective interventions,",,including vaccinations.,,
,Table 2 The distribution of viruses according to age group in 924 patients with ILI,,,,,,,,,,
,<5 yr; n =536,,5 yr-14 yr; n =308,,,15 yr-24 yr; n =23,,25 yr-59 yr; n = 55,≥ 60yr; n = 2,,Total;
,,,,,,,,,,,n = 924
,Total no.,Coinfection,Total no.,Coinfection,Total,Coinfection,Total,Coinfection,Total,Coinfection,Total no.
,(%)*,no. (%)**,(%)*,no. (%)**,no. (%)*,no. (%)**,no. (%)*,no. (%)**,no. (%)*,no. (%)**,(%)*
sFluA,48(8.95),12(2.24),11(3.57),3(0.97),0(0.00),0(0.00),1(1.82),0(0.00),0(0.00),0(0.00),60(6.49)
(H3N2),,,,,,,,,,,
H1N1,15(2.80),1(0.19),9(2.92),1(0.32),1(4.35),0(0.00),6(10.91),0(0.00),0(0.00),0(0.00),31(3.35)
pdm09,,,,,,,,,,,
sFluB,28(5.22),2(0.37),66(21.43),4(1.30),0(0.00),0(0.00),2(3.64),0(0.00),0(0.00),0(0.00),96(10.39)
PIV,34(6.34),9(1.68),17(5.52),6(1.95),1(4.35),0(0.00),1(1.82),0(0.00),0(0.00),0(0.00),53(5.74)
RSV,70(13.06),13(2.43),16(5.19),8(2.60),1(4.35),0(0.00),0(0.00),0(0.00),0(0.00),0(0.00),87(9.42)
HMPV,36(6.72),7(1.31),16(5.19),4(1.30),1(4.35),0(0.00),1(1.82),0(0.00),0(0.00),0(0.00),54(5.84)
ADV,36(6.72),10(1.87),34(11.04),4(1.30),2(8.70),0(0.00),0(0.00),0(0.00),0(0.00),0(0.00),72(7.79)
Positive,240(44.78),27(5.04),154(50.00),15(4.87),6(26.09),0(0.00),11(20.00),0(0.00),0(0.00),0(0.00),411(44.48)
samples,,,,,,,,,,,
