0,1,2,3,4,5,6
"Molecules 2011, 16",,,,,,10241
,,,Table 2. Cont.,,,
Compound No.,,2D Chemical Structure,,INSIDE,,OUTSIDE
,,,,Free energy of binding,,Free energy of binding
,,,,(kcal/mol),,(kcal/mol)
,,,H3N2,2009-H1N1,H3N2,2009-H1N1
32,,,−10.60,−10.70,−6.11,−5.99
,N,O,,,,
,,,−9.51,−9.83,−4.80,−5.36
33,,,,,,
,,NH2,,,,
34,,,−9.70,−9.97,−5.37,−5.62
,,CH3,,,,
,NH,,,,,
35,,,−10.00,−10.23,−5.69,−5.71
,,CH3,,,,
,N,,,,,
,,CH3,,,,
37,,,−8.78,−9.17,−5.53,−5.63
,N,,,,,
,,CH3,,,,
38,,,−9.45,−8.43,−5.86,−5.89
,N,,,,,
,,NH2,,,,
39,,CH3,−9.18,−8.77,−5.32,−5.40
,"N C
H3",,,,,
40,,,−8.53,−8.13,−5.58,−5.25
,N H,CH3,,,,
41,,,−9.10,−8.78,−5.55,−5.56
,N,,,,,
,CH3,,,,,
42,,,−9.61,−9.25,−5.71,−5.73
,N,CH3,,,,
,CH3,,,,,
43,,,−9.42,−9.01,−5.26,−5.04
,N,,,,,
,,CH3,,,,
44,,,−9.07,−9.14,−5.01,−5.55
,"N H
CH3",,,,,
45,,,−9.51,−9.55,−3.97,−5.73
,"N
CH3",,,,,
,CH3,,,,,
46,,,−9.63,−9.81,−3.46,−5.69
,"N
CH3",,,,,
,,CH3,,,,
47,,,−9.90,−10.25,−3.53,−5.59
,"N
CH3",,,,,
,,CH3,,,,
