0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,Table 2. Testing for environmental and hair contamination by FCV by RT-PCR after the ﬁrst experimental infection with FCV 273.,,,,,,,,,,,,,,,,,,
Days after challenge,"−4 
1",3,5,7,8,9,11,13,"15 
22",29,36,43,"50 
56",63,71,78,85,"92 
99","106 
371"
Water bowl,,34.4,35.9,36.0,34.1,34.2,33.5,36.4,36.0,,,,"33.8 
38.5",,,,nt,"nt 
38.5",
Water,38.9,37.0,38.6,,36.8,,,,,,,,,,,,nt,nt,
Litter tray 1,37.9,,,,39.0,37.2,38.7,37.9,,,,,,,,,nt,nt,
Litter tray 2,,37.2,,,32.3,38.5,,,,,,,,,,,nt,nt,
Transfer area,34.3,36.1,35.5,34.5,35.4,33.1,33.7,33.9,"36.8 
36.1",35.3,36.4,35.7,37.4,37.7,38.9,,nt,"nt 
39.4",38.2
Food bowl 1,33.4,35.0,33.6,36.4,34.6,34.1,34.3,38.7,37.4,37.3,37.0,,,,,39.9,nt,nt,37.9
Food bowl 2,30.9,33.7,33.7,36.8,34.9,36.4,33.6,35.4,37.0,38.0,,38.6,37.9,,,38.6,nt,nt,
Ventilation filter,34.8,,32.6,39.2,34.2,35.9,36.0,36.0,"36.2 
36.7",37.4,37.9,36.1,37.1,38.1,,,nt,nt,
Floor food storage room,,,,,,,,,,,,,,,,,nt,nt,
Hair cat JJH3,"nt 
nt",nt,nt,nt,nt,nt,nt,nt,"nt 
nt",nt,nt,"nt 
nt",,nt,,,38.7,,nt
