0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,Post-NGVEV infection (hours),,,,,,,,Post-NGVEV infection (days),,,,,,
Samples,,,,,,,,,,,,,,,,
,0.5,1,2,6,12,24,2,3,4,6,9,12,15,20,25,30
Bursa of Fabricius,–,–,–,–,–,–,+,++,+++,+++,+++,+++,++,+,–,–
Thymus,–,–,–,–,–,–,+,++,++,+++,+++,++,+,–,–,–
Harderian gland,–,–,–,–,–,–,+,++,++,+++,+++,++,+,–,–,–
Proventriculus,–,–,–,–,–,–,+,++,+++,+++,+++,++,++,+,–,–
Gizzard,–,–,–,–,–,–,+,++,+++,+++,+++,++,++,+,–,–
Small intestine,–,–,–,–,–,–,+,++,+++,+++,+++,+++,++,+,–,–
Caecum,–,–,–,–,–,–,+,++,++,+++,+++,++,+,–,–,–
Rectum,–,–,–,–,–,–,+,++,++,+++,+++,++,+,–,–,–
Liver,–,–,–,–,–,–,–,+,++,+++,+++,++,+,–,–,–
Kidney,–,–,–,–,–,–,–,+,++,++,++,+,+,–,–,–
Spleen,–,–,–,–,–,–,–,+,++,+++,+++,++,+,–,–,–
Pancreas,–,–,–,–,–,–,–,–,+,++,++,+,+,–,–,–
Myocardium,–,–,–,–,–,–,–,–,+,++,++,+,+,–,–,–
Cerebrum,–,–,–,–,–,–,–,+,++,+++,++,+,–,–,–,–
Lung,–,–,–,–,–,–,–,–,+,+,+,–,–,–,–,–
