0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
which  HSV  was  isolated  from  164  (2.6%)  patients,,,,,,,,,"diagnostic  methods  (culture,",,,"antigen  detection,",,and
,Table 5   The combining form of two pathogens among 3 316 patients with ILI in Jiangsu province in 2012–2016,,,,,,,,,,,,,
,,,,,,,,,,,,,,(n)
Pathogens,FluA Flu B Flu C RSV ADV HRV hCoV-229E,,,,,,,hCoV-OC43,,hCoV-NL63 hCoV-HKU1 HSV S. pneumoniae H. influenzae,,,,
Flu A,-,0,0,0,2,4,1,2,1,1,2,24,10,
Flu B,0,-,0,1,0,3,0,0,0,0,0,10,8,
Flu C,0,0,-,1,1,0,0,0,0,0,1,2,0,
RSV,0,1,1,-,4,4,0,0,0,0,1,36,4,
ADV,2,0,1,4,-,4,0,1,1,0,1,24,5,
HRV,4,3,0,4,4,-,0,1,1,0,3,37,14,
hCoV-229E,1,0,0,0,0,0,-,0,0,0,0,1,0,
hCoV-OC43,2,0,0,0,1,1,0,-,0,1,1,7,4,
hCoV-NL63,1,0,0,0,1,1,0,0,-,0,0,8,4,
hCoV-HKU1,1,0,0,0,0,0,0,1,0,-,0,3,0,
HSV,2,0,1,1,1,3,0,1,0,0,-,10,2,
S. pneumoniae,24,10,2,36,24,37,1,7,8,3,10,-,59,
H. influenzae,10,8,0,4,5,14,0,4,4,0,2,59,-,
Total,47,22,5,51,43,71,2,17,15,5,21,221,110,
