0,1,2,3,4,5
Table 2.,Frequency Preceding ARI Cases Stratified by Age in Households With 2nd RSV-ARI + Single RSV-ARI,,,,
2nd RSV-ARI + Single RSV-ARI,,,,Preceding ARI,
Age Group,No.,Age Group,1st RSV-ARI (%),Preceding ARI (%),Total Preceding ARI (%)
<6 months old,36,<6 months old,0,0,0
,,6–11 months old,0,0,0
,,1 year old,2 (5.6),2 (5.6),4 (11.1)
,,2–4 years old,3 (8.3),11 (30.6),14 (38.9)
,,Subtotal,5 (13.9),13 (36.1),18 (50.0)
6–11 months old,29,<6 months old,0,0,0
,,6–11 months old,0,0,0
,,1 year old,2 (6.9),0,2 (6.9)
,,2–4 years old,2 (6.9),5 (17.2),7 (24.1)
,,Subtotal,4 (13.8),5 (17.2),9 (31.0)
1 year old,55,<6 months old,0,0,0
,,6–11 months old,1 (1.8),1 (1.8),2 (3.6)
,,1 year old,2 (3.6),1 (1.8),3 (5.5)
,,2–4 years old,4 (7.3),7 (12.7),11 (20.0)
,,Subtotal,7 (12.7),9 (16.4),16 (29.1)
2–4 years old,63,<6 months old,2 (3.2),0,2 (3.2)
,,6–11 months old,3 (4.8),1 (1.6),4 (6.3)
,,1 year old,4 (6.3),1 (1.6),5 (7.9)
,,2–4 years old,6 (9.5),4 (6.3),10 (15.9)
,,Subtotal,15 (23.8),6 (9.5),21 (33.3)
Total,183,,31a (16.9),33 (18),64 (35)
,"Abbreviations: ARI, acute respiratory infection; RSV, respiratory syncytial virus.",,,,
