0,1,2,3,4
,Table 1  Comparison  of  viral  and  Bordetella  pathogen  detection  rate  among  cohorts  of  patients  with  different  tests,,,
ordered by clinicians,,,,
,Cohort 1: pertussis PCR,Cohort 2: viral PCR alone,Cohort 3: dual tested,p value
,alone,"N 
 3071 (% positive)","N 
 490 (% positive)",
,,=,=,
,"N 
 584 (% positive)",,,
,=,,,
Median age,3 years,2 years,0.54 years,<0.001
Age range,6 days–21 years,3 days–21 years,2 days–20 years,NA
Patient age <24 months,240 (41 %),1268 (41 %),369 (75 %),<0.001
Bordetella pathogen detec-,"n 
 21 (3.6 %), including 3 B.",NA,"n 
 22 (4.5 %), including 2 B.",0.5
,=,,=,
tion by LD-PCR (%),parapertussisa,,parapertussisa,
B. pertussis detection by RM-,NA,"n 
 4 (0.1 %)","n 
 24 (4.9 %)",<0.001
,,=,=,
PCR (%),,,,
Combined detection by both,NA,NA,"n 
 27 (5.5 %), including 2 B.",NA
,,,=,
RM-PCR and LD-PCR: n (%),,,parapertussisa,
Organism isolation by culture:,"n 
 14 (14/21 or 66.7 %),",NA,"n 
 10 (10/22 or 45.5 %), includ-",0.16
,=,,=,
n (% of culture positive over,including 2 B. parapertussisa,,ing one B. parapertussisa,
detection by LD-PCR),,,,
Rate of viral positive detec-,NA,1988 (64.6 %),367 (74.8 %),<0.001
tion: n (%),,,,
Rate of viral positive in,NA,840/1268 (66.2 %),290/369 (78.6 %),<0.001
patients age < 24 months:,,,,
n/n (%),,,,
Flu A,NA,164 (5.3),17 (3.5),<0.001 (combined Flu
,,,,A and B rates)
Flu B,NA,360 (11.7),30 (6.1),
PIV 1-4,NA,83 (2.7),33 (6.7),<0.001
RSV,NA,433 (14.1),124 (25.3),<0.001
HMPV,NA,186 (6.0),35 (7.1),0.4
AdV,NA,88 (2.9),17 (3.5),0.5
RhV,NA,741 (24.1),143 (29.2),0.02
CoV,NA,111 (3.6),24 (4.9),0.17
2–3 Viruses,NA,170 (5.5),54 (11.0),<0.001
a  n: includes B. parapertussis,,,,
