0,1,2,3,4,5,6
Table 4,,,,,,
,Cause of death according to time-averaged serum uric acid groups.,,,,,
Cause of death,"Total
(N, %)","<5.5 (N, %)","5.5–6.4 (N, %)","6.5–7.4 (N, %)","7.5–8.4 (N, %)","≥8.5 (N, %)"
Cardiac,54 (26.2),14 (31.8),13 (28.3),10 (19.6),11 (34.4),6 (18.2)
Vascular,10 (4.9),3 (6.8),2 (4.3),2 (3.9),1 (3.1),2 (6.1)
Infection,62 (30.1),12 (27.3),17 (37.0),18 (35.3),9 (28.1),6 (18.2)
Liver disease,4 (2.3),1 (2.3),0 (0.0),0 (0.0),2 (6.2),1 (3.0)
Gastro-intestinal,3 (1.5),0 (0.0),1 (2.2),1 (2.0),0 (0.0),1 (3.0)
Metabolic,3 (1.5),0 (0.0),0 (0.1),1 (2.0),1 (3.1),1 (3.0)
Other,13 (8.4),2 (4.5),1 (2.2),3 (5.9),4 (12.5),3 (9.1)
Unknown,57 (27.7),12 (27.3),12 (26.1),16 (31.4),4 (12.5),13 (39.4)
Total,206 (100),44 (100),46 (100),51 (100),32 (100),33 (100)
