0,1,2,3
,"B6 Female Figs. 2B and 5C,D","CB6F1 Male Figs. 3B,D and 4C",Reference valuesa
Complete blood count,,,
"WBC, K/ul",2.5,14.8,5.1(cid:1)11.6
"RBC, M/ul",8.5,11.1,8.7(cid:1)10.5
"HGB, g/dl",12.9,15.4,12.2(cid:1)16.2
"HCT,%",51.0,55.8,42(cid:1)44
"MCV,
fl",60.1,50.1,na
"MCH, pg",15.3,13.8,na
MCHC,0.3,27.6,na
"Platelet count, K/ul",992.0,2043.0,"100(cid:1)1,000"
Differential,,,
,"Absolute/ml
(%)","Absolute/ml
(%)",
Bands,0 (0.0),0 (0.0),0
Polys,960 (38.0),"6,220 (42.0)",6.7(cid:1)37.2
Lymph,"1,240 (49.0)","7,090 (48.0)",63(cid:1)75
Monos,250 (10.0),"1,030 (7.0)",0.7(cid:1)2.6
Eos,80 (3.0),440 (3.0),0.9(cid:1)3.8
Baso,0 (0.0),0 (0.0),0(cid:1)1.5
Comments,"Polychromasia, (cid:3)1",Slight polychromasia Platelet count,inaccurate due to
,,clumps,
Small mammal panel,,,
Glucose mg/dl,196.0,170.0,106(cid:1)278
"Urea nitrogen (BUN), mg/dl",24.0,30.0,19(cid:1)34
"Calcium, mg/dl",10.6,10.1,9(cid:1)12
"Total protein, g/dl",6.9,5.7,4.3(cid:1)6.4
"Albumin, g/dl",3.5,3.2,2.0(cid:1)4.7
"Alanine aminotransferase, U/l",43.0,47.0,26(cid:1)120
"Aspartate aminotransferase, U/l",83.0,107.0,69(cid:1)191
Principal histologic diagnoses,Pituitary adenocarcinoma,Harderian gland adenoma,
