0,1,2,3,4,5,6
Table 2. Detection rate and age-speciﬁc distribution of each virus or group of viruses detected and rate of coinfection,,,,,,
,Total,[0–1] year,[1–2] years,[2–5] years,[5–15] years,P-value
N,347,131,100,76,40,
HAdV,95 (27(cid:1)4),40 (30(cid:1)5),27 (27),20 (26(cid:1)3),8 (20),0(cid:1)61
HRSV,46 (13(cid:1)3),20 (15(cid:1)3),11 (11),12 (15(cid:1)8),3 (7(cid:1)5),0(cid:1)47
RV/EV,40 (11(cid:1)5),16 (12(cid:1)2),15 (15),7 (9(cid:1)2),2 (5),0(cid:1)37
HBoV,37 (10(cid:1)7),16 (12(cid:1)2),9 (9),8 (10(cid:1)5),4 (10),0(cid:1)88
Inﬂuenza,34 (9(cid:1)8),6 (4(cid:1)6),15 (15),9 (11(cid:1)8),4 (10),0(cid:1)04
HPIV,23 (6(cid:1)6),9 (6(cid:1)9),4 (4),8 (10(cid:1)5),2 (5),0(cid:1)39
HCoV,20 (5(cid:1)8),8 (6(cid:1)1),5 (5),4 (5(cid:1)3),3 (7(cid:1)5),0(cid:1)94
HMPV,14 (4(cid:1)0),5 (3(cid:1)8),6 (6),0 (0),3 (7(cid:1)5),0(cid:1)14
Coinfection,67 (29(cid:1)5),29 (33),18 (26(cid:1)5),15 (30),5 (31(cid:1)3),0(cid:1)76
"Any viral
infection",227 (65(cid:1)4),88 (67(cid:1)2),68 (68),50 (65(cid:1)8),21 (52(cid:1)5),0(cid:1)33
