0,1,2,3,4,5,6,7
Sample,ΔH (kcal/mol),"Tm,1 (°C)","ΔT1/2,1 (°C)",,"Tm2 (°C) ΔT1/2,2 (°C)",ΔS (cal/mol K),TP (°C)
DPPC,,,,,,,
Blank,9.41,40.6,0.15,—,—,29.9,32.9
SARSFP,9.64,41.0,0.14,—,—,30.7,34.4
SARSIFP,9.46,40.8,0.13,—,–,30.1,33.9
DPPG,,,,,,,
blank,9.40,39.8,0.36,—,—,30.0,30.9
SARSFP,4.57,39.6,0.38,—,—,14.6,31.0
SARSIFP,5.73,39.9,0.63,—,—,18.3,32.2
DPPG (salt),,,,,,,
blank,9.31,40.0,0.56,39.2,—,29.7,33.0
SARSFP,6.08,40.0,0.50,—,—,19.4,33.0
SARSIFP,4.41,40.1,0.61,–,—,14.1,33.9
DPPS,,,,,,,
blank,6.36,51.1,0.48,52.2,0.58,—,—
SARSFP,5.42,51.1,0.24,52.0,0.42,—,—
SARSIFP,4.86,51.1,—,52.1,0.78,—,—
POPA,,,,,,,
blank,6.37,23.2,1.42,—,—,21.5,—
SARSFP,5.88,23.2,—,21.1,—,—,—
SARSIFP,5.43,23.7,—,21.5,–,—,—
POPE,,,,,,,
blank,5.38,24.6,2.94,—,—,18.1,—
SARSFP,4.04,24.4,4.08,—,—,13.6,—
SARSIFP,4.52,23.6,2.97,—,—,15.2,—
POPS,,,,,,,
blank,5.44,10.0,1.17,—,—,19.2,—
SARSFP,2.79,10.7,1.00,11.9,—,—,—
SARSIFP,3.08,10.6,2.03,12.4,—,—,—
