0,1,2,3,4,5
,,Mean days absent,,Prolonged absenceb,
,N,(95% CI),Pa,N (%),Pc
Season,,,,,
2012- 2013,338,"0.90 (0.82, 0.98)",.001,161 (48),<.0001
2013- 2014,247,"0.65 (0.55, 0.76)",,74 (30),
2014- 2015,394,"0.79 (0.71, 0.87)",,141 (36),
Age,,,,,
5- 8 y,394,"0.78 (0.70, 0.86)",.5,153 (39),.8
9- 17 y,585,"0.81 (0.75, 0.88)",,223 (38),
Sex,,,,,
Female,510,"0.79 (0.72, 0.86)",.9,193 (38),.7
Male,469,"0.80 (0.73, 0.87)",,183 (39),
Race/ethnicity,,,,,
White,876,"0.78 (0.73, 0.84)",.2,332 (38),.5
Hispanic,52,"0.97 (0.76, 1.18)",,19 (39),
Other,49,"0.86 (0.64, 1.08)",,24 (46),
Reported general health status,,,,,
Excellent,556,"0.75 (0.68, 0.81)",.05,201 (36),.2
Very good/good,408,"0.85 (0.78, 0.93)",,168 (41),
Fair/poor,15,"1.04 (0.67, 1.41)",,7 (47),
Vaccination Status,,,,,
Unvaccinated,571,"0.82 (0.76, 0.89)",.2,221 (39),.8
Vaccinated,408,"0.76 (0.68, 0.84)",,155 (38),
Received IIV,280,"0.78 (0.68, 0.87)",.6,106 (38),.9
Received LAIV,123,"0.73 (0.58, 0.87)",,47 (38),
Time of seasond,,,,,
Pre- peak influenza weeks,80,"0.30 (0.10, 0.51)",<.0001,20 (25),.005
Peak influenza weeks,291,"0.88 (0.79, 0.97)",,129 (44),
Post- peak influenza weeks,608,"0.81 (0.75, 0.87)",,227 (37),
Symptoms,,,,,
Fatigue,,,,,
Yes,865,"0.85 (0.79, 0.90)",<.0001,355 (41),<0.0001
No,114,"0.34 (0.16, 0.51)",,21 (18),
Fever,,,,,
Yes,692,"0.91 (0.86, 0.97)",<.0001,314 (45),<.0001
No,287,"0.45 (0.35, 0.55)",,62 (22),
Nasal congestion,,,,,
Yes,797,"0.81 (0.76, 0.87)",.3,315 (40),.1
No,182,"0.74 (0.62, 0.86)",,61 (34),
Shortness of breath,,,,,
Yes,355,"0.87 (0.79, 0.95)",.03,149 (42),.08
No,624,"0.76 (0.69, 0.82)",,227 (36),
Sore throat,,,,,
Yes,750,"0.83 (0.77, 0.88)",.05,297 (40),.2
No,229,"0.70 (0.60, 0.81)",,79 (34),
,,,,,(Continues)
