0,1,2,3,4,5,6,7,8,9,10
Clin Proteom (2010) 6:175–193,,,,,,,,,,179
Table 2,Patient characteristics—,,,,,,,,,
,,Parameters,KD n=23,,,,FI n=23,,,
KD and FI patients,,,,,,,,,,
,,,Obs,Median,SD,Range,Obs,Median,SD,Range
,,Age (year),23,3,2.31,1–10,23,2,3.82,1–16
,,"Gender
(male%)",22,,81.8%,,23,,60.9%,
,,WBC (103/ul),22,12.45,4.75,5.9–26.8,19,9.7,3.83,3.9–17.0
,,ESR (mm/h),23,45,28.05,5–140,12,34.5,22.9,0–81
,,CRP (mg/dL),21,5,6.1,0.3–21.2,13,2.1,3.51,0.3–12
"obs number of observations, SD",,,,,,,,,,
,,PLT (103/ul),22,404.5,103.07,236–642,19,267,102.08,144–585
standard deviation,,,,,,,,,,
