0,1,2,3,4,5,6,7
Table 2. Distribution of cases and deaths by type and overall case-fatality ratios per outbreak,,,,,,,
,,Yambuku (1976) Kikwit (1995) Mweka (2007) Mweka (2008/9),,,Isiro (2012),,Boende (2014) All outbreaks
Cases (n),,,,,,,
Suspected,–,–,–,–,0,2,2
Probable,–,317,–,22,16,28,383
Confirmed,–,–,24,10,36,38,108
Total,318*,317,264,32,52,68,733
Deaths (n),,,,,,,
Suspected,–,–,–,–,0,0,0
Probable,–,–,–,12,15,28,55
Confirmed,–,–,17,2,13,21,53
Total,280*,248,187,14,28,49,526
Case-fatality ratio,,,,,,,
"(%, 95% CI)",88*,78 (73–83),74 (68–79),44 (26–62),54 (39–68),74 (62–84),79 (76–82)
Sex,,,,,,,
"(% Female, 95% CI)",59 (53–65),54 (48–59),55 (48–61),72 (53–86),77 (63–87),53 (40–65),57 (54–60)
