0,1,2,3
K. C. Chong and others,,,
,Table 1. Number of travellers and earliest date of cases imported from,,
,"Mexico to a particular country in March and April, 2009",,
Destination country,Travellers (n),Earliest date (2009),Reference
Canada,101 313,28 April,[28]
Spain,65 724,28 April,[28]
United Kingdom,20 513,28 April,[28]
Costa Rica,16 950,29 April,[28]
Germany,35 772,30 April,[28]
The Netherlands,27 640,30 April,[34]
France,61 960,1 May,[35]
Colombia,24 535,3 May,[36]
El Salvador,15 090,4 May,[37]
Argentina,24 609,7 May,[38]
Brazil,38 749,7 May,[39]
Cuba,42 802,12 May,[40]
