0,1,2,3,4
,IBD,UC,CD,"P
 value"
Extent (UC),,,,
Proctitis,-,0.35 ± 0.1,-,> 0.05
Left-sided colitis,-,0.34 ± 0.12,-,
Pancolitis,-,0.35 ± 0.10,-,
Location (CD),,,,
Upper GI,-,-,0.29 ± 0.09,> 0.05
Ileum,-,-,0.32 ± 0.08,
Colon,-,-,0.31 ± 0.09,
Ileocolon,-,-,0.29 ± 0.07,
Behavior (CD),,,,
NS/NP (a),-,-,0.33 ± 0.07,a vs b: < 0.01
Stricturing (b),-,-,0.26 ± 0.07,a vs c: < 0.001
Penetrating (c),-,-,0.26 ± 0.06,b vs c: > 0.05
Extraintestinal manifestations,,,,
None,0.33 ± 0.01,0.33 ± 0.09,0.33 ± 0.07,> 0.05
≥ 1,0.32 ± 0.01,0.36 ± 0.1,0.30 ± 0.08,
