0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,Table 1 Detection of respiratory pathogens by real-time PCR,,,,,,,,,,,,,,,,,,
Pathogens#,,Number of positive samples with potential pathogens*,,,,,,,,,,,,,,,,,Detection rate (%)
,HPIV-1,,HPIV-2,HPIV-3,HPIV-4,infA,infB,RSV,ADV,HMPV,HBoV,EV,229E,OC43,NL63,HKU1,MP,CP,
HPIV-1,58,2,,2,0,3,0,6,0,0,3,6,1,3,1,0,6,0,1.2
HPIV-2,,19,,2,0,1,0,6,0,1,0,1,2,3,0,0,2,0,0.4
HPIV-3,,,,99,0,4,3,5,2,2,5,5,0,4,1,0,9,0,2.1
HPIV-4,,,,,8,0,0,1,1,0,0,1,0,0,0,0,1,0,0.2
infA,,,,,,833,9,28,9,5,6,17,6,14,2,5,16,0,17.5
infB,,,,,,,201,4,0,5,1,5,0,0,0,0,4,0,4.2
RSV,,,,,,,,524,11,7,8,44,6,3,5,1,13,1,11.0
ADV,,,,,,,,,151,3,4,10,4,4,4,1,5,0,3.2
HMPV,,,,,,,,,,164,2,7,2,4,1,0,5,0,3.4
HBoV,,,,,,,,,,,103,7,0,3,1,3,10,0,2.2
EV,,,,,,,,,,,,226,3,6,5,0,9,0,4.8
229E,,,,,,,,,,,,,35,6,2,0,1,0,0.7
OC43,,,,,,,,,,,,,,88,2,0,6,0,1.9
NL63,,,,,,,,,,,,,,,33,0,1,1,0.7
HKU1,,,,,,,,,,,,,,,,20,5,0,0.4
MP,,,,,,,,,,,,,,,,,274,0,5.8
CP,,,,,,,,,,,,,,,,,,7,0.1
1 pathogen,35,7,,66,4,726,171,392,107,125,57,124,13,43,14,8,196,5,44.0
2 pathogens,18,8,,23,4,92,29,104,31,33,32,80,15,30,13,9,65,2,12.4
≥3 pathogens,5,4,,10,0,15,1,28,13,6,14,22,7,15,6,3,13,0,3.4
,"#HPIV: human parainfluenza virus,",,infA:,"influenza A virus,",infB:,"influenza B virus, RSV: respiratory syncytial virus, ADV: adenovirus, HMPV: human metapneumovirus, HBoV: human bocavirus, EV: enterovirus, 229E: human",,,,,,,,,,,,,
"coronavirus 229E, OC43: human coronavirus OC43, NL63: human coronavirus NL63, HKU1: human coronavirus HKU1, MP: Mycoplasma pneumoniae, and CP: Chlamydophila pneumoniae.",,,,,,,,,,,,,,,,,,,
,*Boldface indicates total numbers of pathogens detected. Note: multiple pathogens were isolated from some samples.,,,,,,,,,,,,,,,,,,
