0,1,2,3,4,5
Table 5 Sociodemographic factors associated with having a physician as a usual source of care on the 2012 Korean Health Panel,,,,,
,,Model 1,,Model 2,
,,Odds ratio,95% CI,Odds ratio,95% CI
Age (year),18–34,1,,1,
,35–49,2.23,2.22–2.24,1.85,1.85–1.86
,50–64,4.15,4.13–4.17,2.60,2.59–2.62
,65 –,6.92,6.89–6.96,3.77,3.75–3.79
Sex,Male,1,,1,
,Female,1.42,1.42–1.42,1.31,1.31–1.31
Marital status,Married,1,,1,
,Divorced/separated/widowed,0.83,0.82–0.83,0.84,0.84–0.84
,Unmarried,0.63,0.62–0.63,0.72,0.72–0.73
Education (year),0–6,1,,1,
,7–12,1.09,1.08–1.09,1.12,1.12–1.13
,13 –,1.03,1.03–1.03,1.16,1.16–1.16
Household income (quintile),First (lowest),1,,1,
,Second,0.79,0.79–0.79,0.79,0.79–0.80
,Third,0.79,0.79–0.80,0.82,0.82–0.83
,Fourth,0.75,0.75–0.75,0.77,0.77–0.77
,Fifth (highest),0.65,0.65–0.65,0.64,0.64–0.64
Type of health insurance,Employee,1,,1,
,Self-employment,1.06,1.06–1.06,1.09,1.08–1.09
,Medical Aid,1.73,1.72–1.74,1.53,1.52–1.54
Chronic disease,Absence,,,1,
,Presence,,,4.09,4.08–4.10
P values for the Hosmer-Lemeshow tests of model,fit,0.163,,0.656,
