0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Timea,,,,,,,Virus titer (log10TCID50/ml),,,,,,,,
,,,dAd5 virus,,,,hAd/P1-2AB3BCwt,,,,,hAd/P1-2AB3BCm,,,
,,37°C,,4°C,,37°C,,,4°C,,37°C,,,4°C,
,Titer,Rb,Titer,,Rb,Titer,Rb,Titer,,Rb,Titer,Rb,Titer,,Rb
0,7.33,1,7.33,,1,7.23,1,7.23,,1,7.50,1,7.50,,1
12,7.00,2.13,7.00,,2.13,6.77,2.88,6.67,,3.63,7.00,3.16,7.50,,1
24,6.83,3.16,6.67,,4.57,6.77,2.88,6.67,,3.63,7.00,3.16,7.33,,1.47
36,6.50,6.76,6.50,,6.76,6.67,3.63,6.50,,5.37,6.83,4.67,7.23,,1.86
48,6.50,6.76,6.50,,6.76,6.50,5.37,6.33,,7.94,6.67,6.76,7.23,,1.86
60,6.00,21.38,6.33,,10,6.50,5.37,6.23,,10,6.67,6.76,7.00,,3.16
,"aRepresents duration of exposure (in hours) of the sample, brepresents fold decrease in the virus titer with respect to the",,,,,,,,,,,,,,
