0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,High Incidence of MRV in Environment,,
,Table 2. Regional distribution of viruses isolated from sewage samples in Taiwan (July 2012 to December 2013).,,,,,,,,,,
,,,,,,No. of samples by region and city,,,,,
Virus isolationa,,North (n = 90),,Central (n = 60),,,South (n = 90),,,East (n = 60),
,Dihua,Neihu,Tamsui,Taichung,Douliu,Anping,Nanzi,Central District,Luodong,Hualien,Total
CVB 2,3,7,4,,2,,3,,,1,20
CVB 3,6,5,2,3,1,,1,,6,2,26
CVB 4,4,8,4,1,1,,1,,8,,27
CVB 5,2,1,1,,1,2,,,2,2,11
Echo 7,,1,,,1,,,,,,2
Echo 11,,,,,,1,1,,1,,3
Echo 12,1,,,1,,,,,,,2
Echo 24,,,,,,,,,1,,1
AdV,9,12,14,5,5,7,4,3,10,13,82
MRV,14,18,13,5,8,6,5,5,7,13,94
Total,39,52,38,15,19,16,15,8,35,31,268
,"a CVB, coxsackievirus B; Echo, echovirus; AdV, Adenovirus; MRV, Mammalian orthoreovirus.",,,,,,,,,,
doi:10.1371/journal.pone.0142745.t002,,,,,,,,,,,
