0,1,2,3,4
Table 1 Demographic characteristics of the participants,,,,
Characteristic,Academic Staff,General Staff,Students,Total
,n = 360 (%),n = 646 (%),n = 1876 (%),n = 2882 (%)
Sex,,,,
Male,193 (53.6),199 (30.8),914 (48.7),1306 (45.3)
Female,162 (45.0),429 (66.4),930 (49.6),1521 (52.8)
Not specified,5 (1.4),18 (2.8),32 (1.7),55 (1.9)
Age group (years),,,,
18-24,29 (8.1),65 (10.1),1393 (74.3),1487 (51.6)
25-34,88 (24.4),191 (29.6),363 (19.3),642 (22.3)
35-44,93 (25.8),151 (23.4),65 (3.5),309 (10.7)
45-54,80 (22.2),150 (23.2),38 (2.0),268 (9.3)
55-64,57 (15.8),84 (13.0),11 (0.6),152 (5.3)
≥ 65,13 (3.6),2 (0.3),1 (0.1),16 (0.6)
Not specified,0 (0.0),3 (0.5),5 (0.3),8 (0.3)
Home/living arrangements,,,,
Live alone,41 (11.4),97 (15.0),116 (6.2),254 (8.8)
Live with parents,25 (6.9),71 (11.0),846 (45.1),942 (32.7)
Live with partner/spouse,126 (35.0),192 (29.7),197 (10.5),515 (17.9)
Live in shared accommodation,27 (7.5),76 (11.8),516 (27.5),619 (21.5)
Other,141 (39.2),210 (32.5),101 (5.4),452 (15.7)
Not specified,0,0,100 (5.3),100(3.4)
Country of birth,,,,
Australia,178 (49.4),386 (59.8),928 (49.5),1492 (51.8)
Asia,42 (11.7),82 (12.7),628 (33.5),752 (26.1)
Europe,75 (20.8),90 (13.9),149 (7.9),314 (10.9)
Other,65 (18.1),88 (13.6),171 (9.1),324 (11.2)
"Time spent
in Australia",,,,
≤ 2 years,30 (8.3),22 (3.4),311 (16.6),363 (12.6)
3-5 years,24 (6.7),26 (4.0),206 (11.0),256 (8.9)
6-10 years,32 (8.9),38 (5.9),117 (6.2),187 (6.5)
>10 years,265 (73.6),548 (84.8),1214 (64.7),2027 (70.3)
Not specified,9 (2.5),12 (1.9),28 (1.5),49 (1.7)
Employment,,,,
Unemployed,0,0,820 (43.7),820 (28.5)
"Full
time",274 (76.1),493 (76.3),200 (10.7),967 (33.6)
Casual,26 (7.2),52 (8.0),567 (30.2),645 (22.3)
Part-time,50 (13.9),94 (14.6),277 (14.8),421 (14.6)
Not specified,10 (2.8),7 (1.1),12 (0.6),29 (1)
