0,1,2,3,4
,Table 2. Cont.,,,
Variables,Modalities,All Cats (n = 6005),FeLV-Positive Cats (n = 141),
Access,Indoor only,2193 (36.5),32 (22.7),
,Indoor and outdoor,3245 (54.0),83 (58.9),
,Outdoor only,388 (6.5),23 (16.3),
FeLV vaccination,Yes,1462 (24.3),14 (9.9),
,No,3938 (65.6),106 (75.2),
,Not sure,605 (10.1),21 (14.9),
Last FeLV vaccination,Never,3938 (65.6),106 (75.2),
,<1 year,943 (15.7),8 (5.7),
"Viruses 2019, 11, x FOR PEER REVIEW",,,,9  of  27
,1 to ≤3 years,337 (5.6),3 (2.1),
,>3 years,182 (3.0),3 (2.1),
,>3 years,182 (3.0),3 (2.1),
,Not sure,605 (10.1),21 (14.9),
,Not sure,605 (10.1),21 (14.9),
,1 Number in brackets gives the percentage of the number of all cats. 2 Number in brackets gives the percentage of,,,
