0,1,2,3,4,5,6,7,8,9
"Tab. 1A.   Formulation, drug-polymer ratio, drug entrapment, and cumulative drug release",,,,,,,,,
,,in simulated colonic fluid of nine formulations,,,,,,,
,,,,,,,,Average,Size
,,,,,,,% Drug,,
Form-,d/p,,b,"c 
Q240","c 
Q720","c 
Q1440",,particle size,distribution
,,X1,b  X2,,,,entrap-,,
ulation,ratio,,,(%),(%),(%),,(µm),"(min–max,"
,,,,,,,mentd,,
,,,,,,,,,µm)
,,,,70.4,93.9,95.8,98.36 ±,,
F1,,3:20  −1,−1,,,,,4.9 ± 3.8,3.8–8.6
,,,,± 2.36,± 2.45,± 1.23,4.65,,
,,,,60.8,90.2,94.9,95.63,,
F2e,,3:30  −1,0,,,,,5.0 ± 2.7,4.7–6.9
,,,,± 2.95,± 2.11,± 1.87,± 4.32,,
,,,,55.8,83.9,89.9,97.45,,
F3,,3:40  −1,1,,,,,6.9 ± 4.1,6.1–8.9
,,,,± 1.56,± 2.39,± 2.03,± 1.23,,
,,,,68.7,91.7,92.8,96.41,,
F4,2:10,0,−1,,,,,5.5 ± 1.2,5.0–7.9
,,,,± 2.09,± 1.23,± 1.11,± 2.34,,
,,,,57.8,87.4,92.3,94.56,,
F5,2:15,0,0,,,,,5.9 ± 2.9,5.2–8.0
,,,,± 1.98,± 2.51,± 1.01,± 1.65,,
,,,,47.9,81.4,84.9,95.63,,
F6e,2:20,0,1,,,,,6.5 ± 3.9,6.0–8.2
,,,,± 1.69,± 1.98,± 0.98,± 3.65,,
,,,,67.8,90.3,91.4,75.36,,
F7,1:4,1,−1,,,,,5.9 ± 6.1,4.8–9.5
,,,,± 3.69,± 2.05,± 2.22,± 5.69,,
,,,,54.4,89.5,91.8,82.36,,
F8,1:6,1,0,,,,,5.8 ± 5.2,5.0–7.5
,,,,± 2.99,± 2.56,± 2.58,± 4.32,,
,,,,43.5,76.9,82.9,80.98,,
F9,1:8,1,1,,,,,6.9 ± 3.9,6.1–9.2
,,,,± 2.56,± 3.75,± 1.65,± 1.98,,
,b X1 indicates the amount of GA in mg and X2 the amount of GGAA in mg; c Qj denotes percent cumulative,,,,,,,,
