0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Table 3 Assessmenta of medicinal plants based on peer-reviewed referencesb of the last 20 years aiming gastrointestinal,,,,,,,,,,,,,,indicationsc (Continued),
Plant species,Number of,Type of,,Antibacterial,,,Synergism,,,Antiviral,,Anti,"Anti
Anti","Spasmolytic
Immuno","Antiin
Analgesic
Hypothesis"
,references,reference,,,,,with AB,,,,,protozoal,adhesive,"diarrheal
stimulant","flammatory
proved"
,,,+,?,o,+,?,o,+,?,o,"+
?","o
+
?
o
+","?
o
+
?
o
+","?
o
+
?
o
+
?
o
+
?
o"
Mentha x piperita L.,13,in vitro,849,150,,151,,,,,,,,352,
,7,in vivo +,153,,,,,,,,,,,"154
455",156
,,clinical,,,,,,,,,,,,,
Origanum vulgare L.,21,in vitro,1857,258,,,,,,,,,,,159
,8,in vivo +,160,,,,,,,,,261,162,163,"264
165
166"
,,clinical,,,,,,,,,,,,,
Picea abies (L.),1,in vitro,167,,,,,,,,,,,,
H.KARST.,,,,,,,,,,,,,,,
,0,in vivo +,,,,,,,,,,,,,
,,clinical,,,,,,,,,,,,,
Pimpinella anisum L.,7,in vitro,368,269,,270,,,,,,,,171,
,0,in vivo +,,,,,,,,,,,,,
,,clinical,,,,,,,,,,,,,
Plantago lanceolata L.,1,in vitro,,,,,,,,,,,,172,
,1,in vivo +,,,173,,,,,,,,,,
,,clinical,,,,,,,,,,,,,
Potentilla erecta (L.),0,in vitro,,,,,,,,,,,,,
RAEUSCH.,,,,,,,,,,,,,,,
,2,in vivo +,,,,,,,,,,,174,,175
,,clinical,,,,,,,,,,,,,
Rubus fruticosus L.,1,in vitro,,,,,,,,,,176,,,
,0,in vivo +,,,,,,,,,,,,,
,,clinical,,,,,,,,,,,,,
Rumex ssp. L.,4,in vitro,477,,,,,,,,,,,,
,1,in vivo +,,,,,,,,,,,178,,
,,clinical,,,,,,,,,,,,,
Salix ssp. L.,1,in vitro,,,,,,,,,,,,179,
,0,in vivo +,,,,,,,,,,,,,
,,clinical,,,,,,,,,,,,,
Salvia officinalis L.,6,in vitro,580,181,,,,,,,,,,,
,5,in vivo +,382,,,,,,,,,283,18,"185
186
187",
,,,,,,,,,,,,,4,,
,,clinical,,,,,,,,,,,,,
Sambucus nigra L.,1,in vitro,188,,,,,,,,,,,,
,1,in vivo +,,,,,,,,,,,,,189
,,clinical,,,,,,,,,,,,,
