0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Table 2 Distribution of Shigella spp. by Months in Beijing from 1994 to 2010,,,,,,,,,,,,,,,,,,,,,,,,,,
Surveillance,,,,,,,,,,,,,No.,(%) of isolates,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,,Jan,,Feb,,Mar,,Apr,,May,,Jun,,Jul,,Aug,,Sep,,Oct,,Nov,,Dec
1994,620,(10.34),5,(0.81),3,(0.48),3,(0.48),2,(0.32),12,(1.94),56,(9.03),165,(26.61),178,(28.71),122,(19.68),42,(6.77),23,(3.71),9,(1.45)
1995,793,(13.22),10,(1.26),3,(0.38),11,(1.39),16,(2.02),49,(6.18),132,(16.65),239,(30.14),166,(20.93),76,(9.58),46,(5.80),38,(4.79),7,(0.88)
1996,1196,(19.94),25,(2.09),12,(1.00),9,(0.75),5,(0.42),45,(3.76),125,(10.45),376,(31.44),317,(26.51),185,(15.47),61,(5.10),16,(1.34),20,(1.67)
1997,481,(8.02),15,(3.12),5,(1.04),11,(2.29),19,(3.95),55,(11.43),76,(15.80),85,(17.67),66,(13.72),68,(14.14),52,(10.81),15,(3.12),14,(2.91)
1998,602,(10.04),4,(0.66),5,(0.83),4,(0.66),10,(1.66),39,(6.48),82,(13.62),108,(17.94),136,(22.59),94,(15.61),83,(13.79),24,(3.99),13,(2.16)
1999,477,(7.95),3,(0.63),5,(1.05),3,(0.63),7,(1.47),17,(3.56),63,(13.21),109,(22.85),129,(27.04),80,(16.77),29,(6.08),26,(5.45),6,(1.26)
2000,437,(7.28),4,(0.92),2,(0.46),2,(0.46),2,(0.46),11,(2.52),44,(10.07),101,(23.11),154,(35.24),85,(19.45),29,(6.64),0,(0.00),3,(0.69)
2001,221,(3.68),0,(0.00),1,(0.45),2,(0.90),1,(0.45),1,(0.45),8,(3.62),41,(18.55),139,(62.90),26,(11.76),2,(0.90),0,(0.00),0,(0.00)
2002,399,(6.65),8,(2.01),5,(1.25),17,(4.26),20,(5.01),19,(4.76),49,(12.28),82,(20.55),88,(22.06),65,(16.29),26,(6.52),13,(3.26),7,(1.75)
2003,94,(1.57),0,(0.00),1,(1.06),2,(2.13),0,(0.00),1,(1.06),5,(5.32),15,(15.96),24,(25.53),29,(30.85),13,(13.83),2,(2.13),2,(2.13)
2004,252,(4.20),1,(0.40),0,(0.00),0,(0.00),0,(0.00),5,(1.98),12,(4.76),56,(22.22),102,(40.48),48,(19.05),18,(7.14),5,(1.98),5,(1.98)
2005,148,(2.47),4,(2.70),1,(0.68),3,(2.03),0,(0.00),0,(0.00),1,(0.68),24,(16.22),53,(35.81),39,(26.35),15,(10.14),6,(4.05),2,(1.35)
2006,117,(1.95),0,(0.00),0,(0.00),2,(1.71),0,(0.00),4,(3.42),2,(1.71),21,(17.95),41,(35.04),28,(23.93),17,(14.53),2,(1.71),0,(0.00)
2007,78,(1.30),1,(1.28),2,(2.56),0,(0.00),1,(1.28),1,(1.28),3,(3.85),17,(21.79),38,(48.72),10,(12.82),3,(3.85),0,(0.00),2,(2.56)
2008,22,(0.37),1,(4.55),0,(0.00),0,(0.00),1,(4.55),0,(0.00),1,(4.55),1,(4.55),6,(27.27),12,(54.55),0,(0.00),0,(0.00),0,(0.00)
2009,36,(0.60),0,(0.00),0,(0.00),2,(5.56),6,(16.67),0,(0.00),1,(2.78),1,(2.78),16,(44.44),7,(19.44),2,(5.56),0,(0.00),1,(2.78)
2010,26,(0.43),1,(3.85),1,(3.85),1,(3.85),1,(3.85),1,(3.85),6,(23.08),1,(3.85),7,(26.92),4,(15.38),2,(7.69),0,(0.00),1,(3.85)
Total,"5,999",(100.00),82,(1.37),46,(0.77),72,(1.20),91,(1.52),260,(4.33),666,(11.10),1442,(24.04),1660,(27.67),978,(16.30),440,(7.33),170,(2.83),92,(1.53)
