0,1,2,3,4,5,6,7,8,9,10,11,12
Table 3 Significant,,risk factors of having diarrhoea,,,,,,,,,,
,Diarrhoea#,,,,,,,,,,,
Variables,None,%,Yes,%,"p-value^
Crude OR",p-value,95 % CI Range,,Adjusted,p-value,,95 % CI Range
,N = 180,,N = 60,,,,,,OR+,,,
Median Age,43,,36,0.0188,0.98,0.0204,0.96,1.00,0.99,0.4421,0.97,1.01
(Interquartile Range),(33–55),,(29–45.25),,,,,,,,,
Marital Status,,,,,,,,,,,,
Married,145,80.6,39,65.0,1.00,,,,1.00,,,
Single,35,19.4,21,"35.0
0.0211",2.23,0.0150,1.16,4.25,2.29,0.0154,1.16,4.48
Ethnic Group,,,,,,,,,,,,
Chinese,117,65.0,42,70.0,1.00,,,,1.00,,,
Malay,19,10.6,11,18.3,1.61,0.2544,0.69,3.63,1.53,0.3276,0.64,3.58
Indian,29,16.1,3,5.0,0.29,0.0492,0.07,0.87,0.31,0.0727,0.07,0.98
Others,15,8.3,4,"6.7
0.0711",0.74,0.6149,0.20,2.18,0.69,0.5509,0.18,2.15
Flu#,,,,,,,,,,,,
No,137,76.1,30,50.0,1.00,,,,1.00,,,
Yes,43,23.9,30,"50.0
0.0003",3.19,0.0002,1.73,5.90,3.24,0.0002,1.74,6.06
Q4H,,,,,,,,,,,,
None,20,11.1,12,20.0,1.00,,,,1.00,,,
Water only,62,34.4,12,20.0,0.32,0.0190,0.12,0.83,0.30,0.0194,0.11,0.82
Water and Soap,98,54.4,36,"60.0
0.0495",0.61,0.2359,0.27,1.41,0.56,0.1917,0.24,1.36
Q4I,,,,,,,,,,,,
None,12,6.7,14,23.3,1.00,,,,1.00,,,
Water only,57,31.7,10,16.7,0.15,0.0003,0.05,0.41,0.16,0.0008,0.05,0.45
Water and Soap,111,61.7,36,"60.0
0.0009",0.28,0.0034,0.12,0.65,0.29,0.0077,0.12,0.72
Q4M,,,,,,,,,,,,
<30 sec,89,49.4,40,66.7,1.00,,,,1.00,,,
30 sec – 60 sec,63,35.0,12,20.0,0.42,0.0197,0.20,0.85,0.44,0.0302,0.20,0.90
>60 sec,28,15.6,8,"13.3
0.0543",0.64,0.3074,0.25,1.46,0.81,0.6472,0.31,1.95
Q16,,,,,,,,,,,,
No,0,0.0,4,6.7,1.00,,,,1.00,,,
Yes,180,100.0,56,"93.3
0.0036",0.01,<0.0001,0.00,6487.54,0.01,<0.0001,0.00,2979.95
Q20*,,,,,,,,,,,,
0,106,58.9,45,75.0,1.00,,,,1.00,,,
1,74,41.1,15,"25.0
0.0305",0.48,0.0271,0.24,0.90,0.52,0.0606,0.26,1.01
Q21*,,,,,,,,,,,,
0,99,55.0,41,68.3,1.00,,,,1.00,,,
1,54,30.0,16,26.7,0.72,0.3245,0.36,1.37,0.69,0.2974,0.33,1.37
2,27,15.0,3,"5.0
0.0682",0.27,0.0387,0.06,0.81,0.26,0.0393,0.06,0.82
Q23,,,,,,,,,,,,
Visit a GP,95,52.8,23,38.3,1.00,,,,1.00,,,
Self-medicate,61,33.9,28,46.7,1.90,0.0496,1.00,3.62,2.07,0.0346,1.06,4.12
Visit Hospital,6,3.3,1,1.7,0.69,0.7354,0.04,4.31,0.45,0.4796,0.02,3.03
Visit Polyclinic,18,10.0,8,"13.3
0.1836",1.84,0.2098,0.68,4.65,1.81,0.2570,0.63,4.94
,"CI = Confidence interval, OR = Odds ratio",,,,,,,,,,,
