0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,,Västerbotten,,,,Södermanland,,,Västergötland,,Skåne,,,Jämtland,,,,Västmanland,,Halland,,
,,,Mean Median,,Range Mean Median,,,Range Mean Median,,,Range Mean Median,,,Range Mean Median,,,Range Mean Median,,,Range Mean Median,,Range
Veterinarians,,,,,,,,,,,,,,,,,,,,,,
,Area,1637,1376,220-,457,415,65-,1366,1234,318-,4261,4861,59-,-,-,-,-,-,-,-,-,-
,(km2),,,3208,,,1021,,,2666,,,8981,,,,,,,,,
,Number,14,12,9-23,6,6,3-11,24,17,7-55,9,8,1-17,-,-,-,-,-,-,-,-,-
of,farms,,,,,,,,,,,,,,,,,,,,,
,"Ratio,",117,,,76,,,57,,,47,,,-,-,-,-,-,-,-,-,-
,area/,,,,,,,,,,,,,,,,,,,,,
,number,,,,,,,,,,,,,,,,,,,,,
of,farms,,,,,,,,,,,,,,,,,,,,,
Milk tankers,,,,,,,,,,,,,,,,,,,,,,
,Area,17842,19585,11518-,3674,2170,2170-,3066,3066,NA,1683,1101,717-,-,-,-,-,-,-,-,-,-
,(km2),,,23512,,,5679,,,,,,5074,,,,,,,,,
,Number,45,44,30-66,61,63,57-64,89,89,88-90,48,47,23-84,-,-,-,-,-,-,-,-,-
of,farms,,,,,,,,,,,,,,,,,,,,,
,"Ratio,",396,,,60,,,34,,,35,,,-,-,-,-,-,-,-,-,-
,area/,,,,,,,,,,,,,,,,,,,,,
,number,,,,,,,,,,,,,,,,,,,,,
of,farms,,,,,,,,,,,,,,,,,,,,,
Artificial,,,,,,,,,,,,,,,,,,,,,,
inseminators,,,,,,,,,,,,,,,,,,,,,,
,Area,5001,5307,2356-,2892,3013,1044-,2587,2521,1495-,1660,1481,745-,-,-,-,-,-,-,-,-,-
,(km2),,,6874,,,4661,,,4018,,,2821,,,,,,,,,
,Number,13,12,7-18,20,20,14-28,38,39,22-49,21,21,11-29,-,-,-,-,-,-,-,-,-
of,farms,,,,,,,,,,,,,,,,,,,,,
,"Ratio,",385,,,145,,,66,,,79,,,-,-,-,-,-,-,-,-,-
,area/,,,,,,,,,,,,,,,,,,,,,
,number,,,,,,,,,,,,,,,,,,,,,
of,farms,,,,,,,,,,,,,,,,,,,,,
Dairy service,,,,,,,,,,,,,,,,,,,,,,
technicians,,,,,,,,,,,,,,,,,,,,,,
,Area,1116,1233,63-,1730,1679,1235-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(km2),,,1936,,,2327,,,,,,,,,,,,,,,
,Number,4,5,2-5,6,7,4-8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
of,farms,,,,,,,,,,,,,,,,,,,,,
,"Ratio,",279,,,288,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,area/,,,,,,,,,,,,,,,,,,,,,
,number,,,,,,,,,,,,,,,,,,,,,
of,farms,,,,,,,,,,,,,,,,,,,,,
Livestock,,,,,,,,,,,,,,,,,,,,,,
