0,1,2,3,4,5
,Table 2: Comparison between pp-NT assays using different reporter systems (GFP and CSFLW luciferase) and HI tests. IC50-neutralizing,,,,
antibody titres tested by A/Vietnam/1194/04 and A/Egypt 1709-01/07.,,,,,
,,,,,IC50
,,IC50,IC50,IC50,
,,,,,A/Egypt
Sera no.,HI,A/Vietnam/1194/04,A/Vietnam/1194/04,A/Egypt 1709-01/07,
,,,,,1709-01/07
,,GFP-pp,Luc-pp,GFP-pp,
,,,,,Luc-pp
3933-42,1 : 8,<40,80–160,80–160,80–160
3933-50,1 : 16,<40,640–1280,160–320,80–160
3933-41,1 : 32,<40,640–1280,320–640,1280–2560
3930-20,1 : 64,160–320,2560–5120,640–1280,2560–5120
3931-26,1 : 128,80–160,640–1280,1280,5120–10240
3930-19,1 : 256,40–80,2560–5120,>1280,5120–10240
3929-6,1 : 512,>1280,>10240,>1280,2560–5120
3929-9,1 : 1024,>1280,5120–10240,>1280,>10240
3929-1,1 : 2048,>1280,>10240,>1280,>10240
