0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Table 9 Concentrations (pg/ml) of,,,,,immune-related proteins in the serum of FCoV-positive cats,,,,,,,,,,,,,,,
FIP Form,ID,Fas,Flt-3lL,GM-CSF,IFNγ,IL1β,IL2,PDGF-BB,IL12/p40,IL13,IL4,IL6,IL8,KC,SDF1,RANTES,SCF,MCP1,TNFα,IL18
NC,1a,<8.3,45.3,8.3,12.3,<17.3,19.1,300.1,194.3,5.6,106.5,<36.3,13.0,3.7,92,8.4,118.3,845.5,115,<71.2
,,± 0,± 1.4,± 0.1,± 0,± 0,± 0.2,± 4.0,± 5.3,± 0,± 1.7,± 0,± 0.2,± 0.2,± 1.4,± 0.2,± 2.5,± 0,± 1.7,± 0
Dry,2,<8.3,13.5,7.6,16.4,<17.3,17.1,297.5,1269,5.9,124.7,<36.3,32.6,25.6,64.8,19.8,49.0,958,65.0,<71.2
,,± 0,± 0.2,± 0.3,± 0.2,± 0,± 0.5,± 4.5,± 11.6,± 0.2,± 1.4,± 0,± 0.2,± 0.9,± 1,± 0.1,± 0.3,± 12.5,± 1.3,± 0
,3,9.8,54.7,15.0,47.5,<17.3,17.8,333.2,268.5,8.5,287.4,<36.3,22.7,25.7,97.9,19.3,65.7,1890,152.3,151.4
,,± 0.13,± 1.7,± 0.2,± 0.4,± 0,± 0.9,± 0,± 6.5,± 0.1,± 2.8,± 0,± 0.5,± 0.5,± 0,± 0.6,± 2,± 0,± 7.1,± 9.8
,6,10.7,24.9,24.3,39.2,19,24.8,363.5,147.6,13.3,323.2,<36.3,28.0,22.8,117.7,8.6,73.2,1738,104.28 ± 2,477.9
,,± 0.1,± 0.7,± 0.1,± 0.7,± 0.94,± 0,± 3.3,± 1.8,± 0.4,± 12.4,± 0,± 0.6,± 1.0,± 0,± 0.3,± 2.3,± 41,,± 5.7
Wet,7,9.1,27.3,15.2,43.2,<17.3,17.8,319.3,543.9,8.2,117.3,<36.3,17.8,3.3,96.4,16.8,39.2,914,59.3,<71.2
,,± 0.3,± 2.4,± 0.5,± 2.5,± 0,± 0.9,± 8.1,± 40.5,± 0.3,± 2.9,± 0,± 1.6,± 0.5,± 2.6,± 1.7,± 3.7,± 12.9,± 2,± 0
,8,8.9,14.1,27.0,14.2,<17.3,17.9,339.6,237.5,6.2,107.4,<36.3,19,27.6,85.9,9.0,,<32.5,868.6,55
,,± 0.1,± 0.1,± 0.3,± 0.2,± 0,± 0,± 3.7,± 0.5,± 0,± 2.9,± 0,± 0.2,± 0.7,± 1.8,± 0.2,,± 0,± 13.4,± 0.5
,,,,,,,,,,,,,,,,,,,<71.2 ± 0,9
,,9.2,39.5,20.2,61.9,<17.3,20.8,332.8,958.2,7.8,166.5,<36.3,16.0,45.3,84.3,11.7,39.5,914.1,66.3,<71.2
,,± 0,± 1.1,± 0.1,± 1.4,± 0,± 0,± 7.6,± 36.8,± 0,± 0,± 0,± 0.3,± 1.9,± 0.9,± 0.3,± 0.9,± 12.9,± 0,± 0
,5,11.5,56.4,16.2,21.9,<17.3,22.9,333.2,2923.5,7.1,139.5,<36.3,28.9,4.1,90.5,14.3,46.6,979.6,88.8,<71.2
,,± 0.1,± 0.1,± 0.3,± 0,± 0,± 0.4,± 0,± 70.7,± 0.1,± 1.4,± 0,± 0.5,± 0.1,± 0.9,± 0.1,± 0.2,± 0,± 0,± 0
,10,13.5,44.2,13.8,85.6,32.6,22.2,305.3,564.8,10.4,420.4,116.7,29.3,3.3,90.4,22.8,76.5,2379,158.2,<71.2
,,± 0.3,± 0.8,± 0.2,± 2.5,± 0.3,± 0,± 0,± 5.3,± 0.2,± 10.9,± 7.1,± 0.2,± 0.2,± 4.4,± 0.3,± 1.5,± 13.3,± 6.1,± 0
,11,12.6,29.7,19.1,28.3,<17.3,26.0,385.2,1131,11.2,187.2,<36.3,37.6,184.2,189.3,35.4,69.2,1082,100,96
,,± 0,± 0.9,± 0.1,± 1.2,± 0,± 0,± 3.0,± 17.3,± 0.2,± 6.3,± 0,± 0.2,± 7.0,± 2.6,± 0.6,± 1.9,± 11.6,± 2.5,± 3.9
12,,12.2,49.8,11.1,36.2 2.5,51.5,95.3,418.6,655.1,9.1,294.4,328.1,28.9,39.7,303.9,37.7,48.9,1370,403.5,522
,,± 0,± 1.7,± 0.6,,± 6.9,± 33.3,± 5.2,± 8.6,± 0.3,± 31.8,± 56.2,± 0.4,± 34.8,± 25.0,± 0.4,± 1.9,± 48.5,± 40.6,± 160.3
,Note: Each sample was analyzed in three replicates and the data are expressed as means ± SEM,,,,,,,,,,,,,,,,,,,
