0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Table 4. Comparison of Panther Fusion and Allplex for detection of viruses in patient samples collected from December 2017 to January 2018.,,,,,,,,,,,,,,
Viral Target,TP1,TN2,,,,Panther Fusion Results,,,,,,Allplex Results,,
,,,FP3,FN4,Sensitivity,Specificity,PPV5,NPV6,FP3,FN4,Sensitivity,Specificity,PPV5,NPV6
,,,,,(95% CI),(95% CI),(95% CI),(95% CI),,,(95% CI),(95% CI),(95% CI),(95% CI)
Flu A,72,327,7,0,1 (0.93–1),0.97,0.91,1 (0.98–1),7,5,0.93,0.97,0.90,0.98
,,,,,,(0.95–0.99),(0.82–0.96),,,,(0.83–0.97),(0.95–0.99),(0.80–0.95),(0.96–0.99)
Flu B,70,329,5,2,0.97,0.98,0.93,0.99,1,4,0.94,0.99,0.98,0.98
,,,,,(0.89–0.99),(0.96–0.99),(0.84–0.97),(0.97–0.99),,,(0.85–0.98),(0.98–0.99),(0.91–0.99),(0.96–0.99)
RSV,38,361,0,0,1 (0.88–1),1 (0.98–1),1 (0.88–1),1 (0.98–1),0,4,0.89,0.91,1 (0.87–1),0.98
,,,,,,,,,,,(0.74–0.96),(0.88–0.93),,(0.97–0.99)
ADV,8,391,1,0,1 (0.59–1),0.99,0.88,1 (0.98–1),3,0,1 (0.59–1),0.99,0.72,1 (0.98–1)
,,,,,,(0.98–0.99),(0.50–0.99),,,,,(0.97–0.99),(0.39–0.92),
hMPV,6,393,3,1,0.83,0.99,0.62,0.99,1,1,0.83,0.99,0.83,0.99
,,,,,(0.36–0.99),(0.97–0.99),(0.25–0.89),(0.98–0.99),,,(0.36–0.99),(0.98–0.99),(0.36–0.99),(0.98–0.99)
RV,37,362,5,2,0.94,0.98,0.87,0.99,13,2,0.94,0.96,0.72,0.99
,,,,,(0.80–0.99),(0.96–0.99),(0.72–0.95),(0.97–0.99),,,(0.80–0.99),(0.93–0.97),(0.57–0.84),(0.97–0.99)
PIV,13,389,3,0,1 (0.74–1),0.99,0.83,1 (0.98–1),4,1,0.93,0.98,0.77,0.99
,,,,,,(0.97–0.99),(0.57–0.95),,,,(0.66–0.99),(0.97–0.99),(0.51–0.92),(0.98–0.99)
TOTAL,244,"2,552",24,5,0.97,0.98,0.91,0.99,29,17,0.93,0.98,0.88,0.99
,,,,,(0.95–0.99),(0.98–0.99),(0.86–0.94),(0.99–0.99),,,(0.89–0.95),(0.98–0.99),(0.84–0.92),(0.98–0.99)
