0,1,2,3,4
"Table 5. Annual mf prevalence survey and MDA data for Dokan Tofa, Nigeria.",,,,
Village,,,Dokan Tofa,
Regimen (efficacy(cid:3)),,,IVM+ALB (99/9),
Mosquito genus,,,Anopheles,
ABR,,,300–5000,
,Year,Mf Prev,Upper limit,Total population
,,(Pos. no./,of 95% CI,MDA cov
,,no. sampled),of Mf Prev,
Pre-treatment,2003,5% (21/419),7.1%,74.9%
Post MDA 1,2004,NA,NA,76.7%
Post MDA 2,2005,3% (7/236),5.4%,67.4%
Post MDA 3,2006,0% (0/132),2.2%,77.6%
Post MDA 5,2008,0% (0/158),1.03%,78.3%
Post MDA 7,2010,0% (0/119),0.73%,
