0,1,2,3,4,5
,,"0.001, respectively). We also observed a significantly lower number of leucocytes in RSV single",,,
,,"infection versus those in RSV co-infection (Mann-Withney p-value = 0.001), and an inverse",,,
Table 4. Viral etiologies and age group.,,,,,
Virus name,,,Age groups,,
,<2m,2m-6m,7m-11m,12m–24m,Total
,n = 41,n = 277,n = 174,n = 140,N = 632
"RSV positive, n(%)",22 (54),152 (55),74 (43),54 (39),302 (48)
"RSVA, n(%)",13 (32),84 (30),31 (18),28 (20),156 (25)
"RSV B, n(%)",9 (22),63 (23),42 (27),25 (18),139 (22)
"Both RSVA and RSVB, n(%)",0 (0),5 (2),1 (1),1 (1),7 (1)
"Flu V positive, n(%)",0 (0),6 (2),5 (3),5 (4),16 (3)
"Flu A, n(%)",0 (0),4 (1),4 (2),2 (1),10 (2)
"Flu B, n(%)",0 (0),2 (1),1 (1),3 (2),6 (1)
"AdV, n(%)",1 (2),11 (4),15 (9),10 (7),37 (6)
"EnV, n(%)",5 (12),29 (10),17 (10),14 (10),65 (10)
"MPV, n(%)",3 (7),9 (3),9 (5),9 (6),30 (5)
"RV, n(%)",10 (24),91 (33),61(35),44 (31),206 (33)
"PIV-1, n(%)",0 (0),5 (2),2 (1),2 (1),9 (1)
"PIV-2, n(%)",0 (0),8 (3),5 (3),1 (1),14 (2)
"PIV-3, n(%)",2 (5),16 (6),14 (8),15 (11),47 (7)
"PIV-4, n(%)",0 (0),12 (4),7 (4),6 (4),25 (4)
"CoV, n(%)",1 (2),14 (5),6 (3),4 (3),25 (4)
"PeV, n(%)",0 (0),9 (3),2 (1),1 (1),12 (2)
"BoV, n(%)",3 (7),13 (5),12 (7),14 (10),42 (7)
"Single infections, n(%)",26 (63),160 (58),104 (60),85 (61),375 (59)
"Co-infections, n(%)",9 (22),94 (34),55 (31),41 (29),199 (31)
"Negative cases, n(%)",6 (15),23 (8),15 (9),14 (10),58 (9)
doi:10.1371/journal.pone.0160606.t004,,,,,
