0,1,2,3,4,5,6,7,8,9,10,11,12,13
,http://www.biomedcentral.com/1471-2334/10/330,,,,,,,,,,,,
Table 2 Selected syndrome groups according to travel region among 6957 patients seen at EuroTravNet core sites in,,,,,,,,,,,,,
2008,,,,,,,,,,,,,
,Total,Caribbean,Central,Europe,Middle,North,North,Other,South,South,South,Sub-,No
,N %,,America,,East,Africa,East,,America,Central,East,Saharan,single
,,,,,,,Asia,,,Asia,Asia,Africa,region
Febrile/Systemic,1378,23,21,46,16,22,17,9,70,116,160,602,276
Illness,,,,,,,,,,,,,
,20%,20%,16%,14%,15%,7%,22%,12%,15%,17%,25%,33%,13%
Acute Diarrhea,1205,27,42,67,33,119,15,6,70,263,131,319,113
,17%,24%,32%,20%,31%,36%,19%,8%,15%,39%,21%,18%,5%
Chronic,484,9,14,11,10,53,5,4,41,71,57,85,124
Diarrhea,,,,,,,,,,,,,
,7%,8%,11%,3%,9%,16%,6%,6%,9%,11%,9%,5%,6%
Gastrointestinal,623,8,16,30,12,29,11,6,44,70,44,176,177
Other,,,,,,,,,,,,,
,9%,7%,12%,9%,11%,9%,14%,8%,9%,10%,7%,10%,8%
Dermatologic,851,35,34,62,14,43,9,27,83,72,140,216,116
,12%,30%,26%,18%,13%,13%,12%,37%,18%,11%,22%,12%,5%
Respiratory,540,8,6,72,10,15,4,8,18,65,65,119,150
,8%,7%,5%,21%,9%,5%,5%,11%,4%,10%,10%,7%,7%
Tissue Parasites,237,0,0,5,2,10,0,1,96,2,3,85,33
,3%,0%,0%,2%,2%,3%,0%,1%,20%,0%,1%,5%,2%
GU and STIs,200,6,2,16,2,7,1,0,11,17,23,44,71
,3%,5%,2%,5%,2%,2%,1%,0%,2%,3%,4%,2%,3%
Psychologic,175,2,0,6,3,14,5,0,7,18,5,52,63
,3%,2%,0%,2%,3%,4%,6%,0%,2%,3%,1%,3%,3%
Injury/,144,2,1,16,3,9,9,5,10,13,13,24,39
Musculoskeletal,,,,,,,,,,,,,
,2%,2%,1%,5%,3%,3%,12%,7%,2%,2%,2%,1%,2%
Neurologic,98,1,0,13,3,7,1,3,3,8,8,22,29
,1%,1%,0%,4%,3%,2%,1%,4%,1%,1%,1%,1%,1%
Death,3,0,0,1,0,0,0,0,0,0,1,1,0
,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Chronic Disease,319,1,1,17,1,4,4,2,61,9,13,107,99
,5%,1%,1%,5%,1%,1%,5%,3%,13%,1%,2%,6%,5%
Nonspecific,283,4,6,8,2,13,3,3,38,14,19,91,82
Symptoms,,,,,,,,,,,,,
,4%,4%,5%,2%,2%,4%,4%,4%,8%,2%,3%,5%,4%
Other,347,6,11,18,6,17,5,7,27,24,42,107,77
,5%,5%,8%,5%,6%,5%,6%,9%,6%,4%,7%,6%,4%
Healthy,1056,1,3,3,5,5,1,0,8,9,4,36,981
,15%,1%,2%,1%,5%,2%,1%,0%,2%,1%,1%,2%,45%
Total,6957,115,133,341,107,330,78,73,470,676,631,1804,2199
,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
