0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,,,,,,,,Total,,
,,,RBC,WBC,PLT,CPK,AST,ALT,ALP,GGT,Bilirubin,,
,,Age,6.0–9.5,5.5–12,130–400,100–350,10–55,10–75,20–100,0–2,0.00–0.20,FIV and/or,N° viral DNA
Animal,Gender,Months,millions/μL,×1000/μL,1000/μL,UI/L,UI/L,UI/L,UI/L,UI/L,mg/dL,FeLV,copies/ml
418/17-8*,M,24,,,,1194,,77,,,,−,"8,14*105"
914/17 - 13*,F,48,4.20,15.1,,453,,,,,,−,"2,51*103"
914/17 – 43*,F,96,4.36,,,,,140,10,,,−,"2,5*107"
165/18 – 101*,M,108,,36.2,509,,204,245,185,2.4,18.22,−,117*104
510/18 – 6*,M,36,,,,607,203,120,,,,−,1.43*105
377/17 - 18,M,24,2.95,,33,,177,,151,,,+,7.85*101
165/18 - 83,M,36,3.91,3.0,38,615,59,,,,7.89,+,2.74*106
169/18 - 4,F,24,4.43,13.9,,410,,,12,2.2,,+,2.25*104
255/18 - 20,M,7,4.27,20.7,,363,,,10,,,+,2.0*104
296/17 - 20,F,156,,17.8,,1566,205,152,110,,1.27,−,1.46*105
342/17 - 11,M,6,9.73,15.9,,432,284,261,,,0.24,−,1.80*104
342/17 - 21,M,60,,,,789,,,120,,,−,9.77*104
342/17 - 42,M,11,,14.9,,882,,,103,,,−,2.14*104
377/17 - 13,F,7,,,,775,,116,126,,,−,1.96*104
377/17 - 27,F,8,,17.1,111,,,,,,,−,2.42*104
470/17 - 22,F,7,,,,,,194,121,,,−,2.51*102
470/17 - 26,M,8,1.80,1.1,,886,,,12,,0.63,−,7.85*101
513/17 - 10,F,12,4.37,56.7,490,1312,68,,16,,0.29,−,9.70*103
34/18 - 1,F,132,10.35,,,,,121,,2.5,,−,2.24*104
255/18 - 21,F,24,,,,,71,114,,,,−,1.70*103
