0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"Table 2. Acute respiratory infection (ARI) diagnoses as a percentage of all clinic visits, 2004–2011, by age group",,,,,,,,,,,,,,,,,,
,,0–4 years,,,5–17 years,,,18–24 years,,,25–64 years,,,65+ years,,,Total,
,,All,%,,All,%,,All,%,,,%,,,%,,,%
Season,ARI,visits,ARI,ARI,visits,ARI,ARI,visits,ARI,ARI,All visits,ARI,ARI,All visits,ARI,ARI,All visits,ARI
2004–05,15 243,48 781,31.2,17 512,81 024,21.6,6598,63 267,10.4,37 005,484 436,7.6,6180,129 911,4.8,82 538,807 419,10.2
2005–06,13 514,46 936,28.8,15 052,76 302,19.7,6016,60 962,9.9,32 066,484 920,6.6,5186,129 576,4.0,71 834,798 696,9.0
2006–07,13 604,47 656,28.5,15 566,78 563,19.8,5878,61 393,9.6,34 652,509 013,6.8,5222,137 139,3.8,74 922,833 764,9.0
2007–08,12 452,47 259,26.3,14 152,80 804,17.5,5680,62 810,9.0,36 010,532 544,6.8,5563,145 478,3.8,73 857,868 895,8.5
2008–09,11 148,44 094,25.3,12 856,81 800,15.7,4635,57 510,8.1,30 364,531 460,5.7,5244,148 184,3.5,64 247,863 048,7.4
2009–10,10 463,44 549,23.5,11 784,83 367,14.1,4341,55 231,7.9,29 317,547 346,5.4,5000,155 765,3.2,60 905,886 258,6.9
2010–11,9584,37 200,25.8,12 519,79 371,15.8,4317,51 430,8.4,31 740,539 787,5.9,5574,156 902,3.6,63 734,864 690,7.4
Total,86 008,316 475,27.2,99 441,561 231,17.7,37 465,412 603,9.1,231 154,3 629 506,6.4,37 969,1 002 955,3.8,492 037,5 922 770,8.3
