0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,"(Table 5, see discussion).",,,,,,,,,fection have a score 0 or 1) and only 10 % of these farms,,,,,,
,Table 3 Yearly and monthly network metrics for,,,,,,farms in 2012,,,,,,,,,
Network,ID,,,,OD,,,,ICC,,,,OCC,,,
,mean,median,max,g1,mean,median,max,g1,mean,median,max,g1,mean,median,max,g1
Yearly,7.75,3,893,13.26,10.44,8,302,6.27,28’051.85,30’673,45’740,−0.91,29’808.64,3’8247,40’848,−1.16
January,1.12,0,211,15.39,2.01,2,103,10.55,73.25,0,3’525,4.87,83.90,3,2’165,4.98
February,1.03,0,250,21.27,1.94,1,42,5.81,28.62,0,12’822,35.58,35.26,5,1’368,5.25
March,1.12,0,231,16.72,2.01,2,49,5.92,44.89,0,7’632,7.49,53.11,3,1’858,5.78
April,1.13,0,199,16.80,1.97,2,51,6.18,67.11,0,4’017,7.27,76.79,3,1’832,3.92
May,1.07,0,278,22.77,2.13,2,49,5.50,30.43,0,5’473,8.59,41.69,3,2’478,9.04
June,0.92,0,227,20.11,2.35,2,58,5.39,29.38,0,4’745,9.21,41.23,4,2’279,5.63
July,1.04,0,209,18.76,1.80,1,83,10.09,14.55,0,4’201,12.31,17.44,2,892,6.32
August,1.27,1,216,16.52,1.84,1,56,6.26,25.32,1,2’856,8.85,26.56,2,1’218,6.59
September,1.86,1,167,15.16,1.70,1,56,5.94,107.39,1,10’608,5.83,89.21,3,3’192,5.58
October,1.48,1,337,22.34,2.06,2,56,6.00,111.45,1,3’898,4.55,105.72,3,2’833,4.74
November,1.26,0,262,19.11,2.16,2,71,6.56,50.69,0,9’492,9.16,58.15,4,2’196,5.26
December,1.10,0,250,22.57,1.92,1,49,5.34,58.33,0,2’627,5.50,65.47,2,2’400,5.28
,"ID In-degree, OD out-degree,",,"ICC ingoing contact chain, OCC outgoing contact chain; g1 skewness, Max maximum",,,,,,,,,,,,,
