0,1,2,3,4
,"Table 2. Characteristics of study participants by dengue testing results and disease severity (n = 1,974).",,,
,,DENV-negative,DENV-positive,
,,OFI,DF,Severe dengue
,,"(n = 1,793)",(n = 161),(n = 20a)
,,N (%),N (%),N (%)
Dengue seasonb,2004–05,312 (95),16 (5),1 (0)
,2005–06,516 (89),63 (11),2 (0)
,2006–07,397 (97),12 (3),1 (0)
,2007–08,328 (84),53 (13),11 (3)
,2008–09,240 (92),17 (6),5 (2)
Demographics,Female,864 (48),75 (47),11 (55)
,Male,929 (52),86 (53),9 (45)
,Median age in years (range),6 (2–13),7 (2–13),9 (4–12)
,"Median day of
illness at presentation (range)",2 (1–8),2 (1–8),3.5 (1–6)
Serotype,DENV-1,N/A,33 (21),2 (10)
,DENV-2,N/A,94 (58),12 (60)
,DENV-3,N/A,14 (9),5 (25)
,DENV-4,N/A,0 (0),1 (5)
,Multiple,N/A,2 (1)c,0 (0)
,Indeterminate,N/A,18 (11),0 (0)
Immune response,Primary,N/A,71 (44),6 (30)
,Secondary,N/A,87 (54),14 (70)
,Indeterminate,N/A,3 (2),0 (0)
