0,1,2,3,4,5
"6    The Open Respiratory Medicine Journal, 2015, Volume 9",,,,,Dimopoulos et al.
Table 4.,Seasonal pattern of respiratory viruses.,,,,
Season,Winter,Spring,Summer,Autumn,
,,,,,p Value
Number of Patients,N=71 (28.7%),N=81 (32.8%),N=21 (11.3%),N=67 (27.1%),
hRSVA,25 (35.2),17 (21),12 (42.9),7 (10.4),0.001
hRSVB,11 (15.5),20 (24.7),11 (39.3),23 (34.3),0.029
Adenovirus,2 (2.8),2 (2.5),0,0,0.46
Coronavirus,1 (1.4),3 (3.7),0,0,0.28
Rhinovirus,2 (2.8),4 (4.9),3 (10.7),8 (11.9),0.13
hPIV3,2 (2.8),4 (4.9),3 (10.7),13 (19.4),0.003
hPIV4,1 (1.4),0,0,9 (13.4),<0.001
Enterovirus B,0,1 (1.2),0,0,0.5
Echovirus,0,1 (1.2),0,0,0.5
hMPVA,3 (4.2),4 (4.9),0,1 (1.5),0.46
hMPVB,1 (1.4),1 (1.2),0,0,0.7
Influenza A,8 (11.3),2 (2.5),1 (3.6),0,0.009
Influenza B,3 (4.2),7 (8.6),4 (14.3),0,0.023
Influenza C,0,2 (2.5),0,10 (14.9),<0.001
Bocavirus,0,0,1,0,0.05
Double viral infection,18 (25.3),16 (19.7),9 (32.1),20 (29.9),0.5
,"hRSVA, B =human Respiratory Suncytial Virus A and B, hPIV3,4=human Parainfluenza Virus type 3, 4= human Parainfluenza Virus type 4, hMPVA, B= human Metapneumovirus",,,,
