0,1,2,3,4,5
,,Table 1. Cont.,,,
Involvement in,,,,"Length,",VBRC
,Genus,Virusa,Gene/Protein,,
Ubiquitination,,,,aa,accessionb
BTB/KELCH proteins,Capripoxvirus,GTPV-Pellor,16,562,VP0044826
associated with cullin-3-,,,141,547,VP0044951
based E3 ubiquitin ligase,,,148,552,VP0044958
,,LSDV-NEE,19,569,VP0040222
,,,144,547,VP0040349
,,,151,550,VP0040356
,,SPPV-A,16,569,VP0044525
,,,140,547,VP0044649
,,,147,552,VP0044656
,Leporipoxvirus,MYXV-Lau,M014L,517,VP0038442
,,,M140R,553,VP0038569
,,RFV-Kas,gp013L,516,VP0038613
,,,gp0140R,553,VP0038737
,Orthopoxvirus,CMLV-CMS,21L,200,VP0041119
,,,24L,512,VP0041122
,,,38L,480,VP0041137
,,,172R,564,VP0041317
,,,186R,501,VP0041335
,,CPXV-GRI,D11L,521,VP0042668
,,,C18L,512,VP0042689
,,,G3L,485,VP0042703
,,,A54R,564,VP0042838
,,,B9R,501,VP0042849
,,,B19R,557,VP0042686
,,ECTV-Mos,18,512,VP0040938
,,,27,482,VP0040947
,,,150,563,VP0041074
,,,165,594,VP0041089
,,MPXV-ZAI,D12L,206,VP0040376
,,,D19L,107,VP0040382
,,,C9L,487,VP0040396
,,TATV-DAH68,24,150,VP0052942
,,,43,480,VP0052961
,,,181,219,VP0053099
,,,196,209,VP0053114
,,VACV-COP,C2L,512,VP0039555
,,,C5L,615,VP0039551
,,,F3L,480,VP0039572
,,,A55R,564,VP0039751
,,RPXV-Utr,15,204,VP0041377
,,,18,512,VP0041380
,,,31,480,VP0041393
,,,162,564,VP0041526
