0,1,2,3,4,5,6,7,8,9,10,11
,TABLE 5 | Probability of,,introduction of the j disease into the European Union through transport-vehicle from the country i.,,,,,,,,
PIT,,,,,,,Disease “j”,,,,
Country “i”,,1,3,4,5,6,7,8,9,10,11
,,BT,EHD,FMD,Gl,HW,HPAI,MERS,ND,PPR,RVF
1,MA,1.7E-3,2.9E-4,6.78E-4,,,0,,0,1.2E-4,0
2,DZ,6.5E-3,6.3E-4,2.68E-3,0,0,1.4E-3,,2.7E-3,6.1E-4,0
3,TN,1.9E-3,9.6E-4,3.48E-4,0,0,3.3E-4,,8.4E-4,1.2E-4,0
4,LY,1.7E-3,,1.49E-3,,,1.3E-3,,3.01E-3,1.07E-4,
5,EG,0,0,4.06E-3,0,0,2.5E-3,,,5.6E-4,0
6,SD,0,0,3.66E-5,0,7.7E-5,6.1E-6,,7.7E-5,4.9E-6,4.6E-5
8,NG,0,0,3.78E-5,0,,6.7E-5,,7.9E-5,5.04E-6,7.9E-5
9,ML,,0,2.36E-5,,,0,,,3.4E-6,4.9E-5
10,MR,0,,1.76E-4,,,,,,2.5E-5,1.3E-3
11,SA,2.7E-3,0,2.46E-3,0,,2.8E-4,1.7E-4,2.7E-3,1.7E-4,5.3E-3
12,KW,,0,4.88E-4,,0,3.9E-4,3.8E-5,7.0E-4,4.4E-5,0
13,BH,0,0,2.4E-4,7.1E-4,0,0,,,0,0
14,QA,1.4E-3,0,1.29E-3,,,0,1.4E-4,2.7–3,0,0
15,AE,0,0,5.01E-4,0,0,0,,,1.7E-4,0
16,OM,1.07E-4,0,1.19E-4,0,0,0,1.5E-5,2.5E-4,1.6E-5,0
