0,1,2,3,4
,,TABLE 1,,
,"Organisms identiﬁed from the upper respiratory tract in patients admitted with acute febrile illness, southern Sri Lanka, 2012–2014",,,
,Number (%) in all,Number (%) in patients,Number (%) in patients,
Virus type,patients,aged < 5 years,aged ³ 5 years,P-value
Inﬂuenza A,88 (9.1),14 (10.8),74 (8.9),0.49
H1N1p2009,37 (3.8),8 (6.2),29 (3.5),0.14
H3,44 (4.6),6 (4.6),38 (4.6),0.98
Untypeable,7 (0.7),–,7 (0.8),0.29
Inﬂuenza B,46 (4.8),7 (5.4),39 (4.7),0.73
Parainﬂuenza virus,13 (1.4),11 (8.5),2 (0.2),< 0.001
Parainﬂuenza 1,3 (0.3),2 (1.5),1 (0.1),0.007
Parainﬂuenza 2,2 (0.2),2 (1.5),–,< 0.001
Parainﬂuenza 3,8 (0.8),7 (5.4),1 (0.1),< 0.001
Human rhinovirus/enterovirus,13 (1.4),8 (6.2),5 (0.6),< 0.001
Human metapneumovirus,11 (1.1),6 (4.6),5 (0.6),< 0.001
RSV,11 (1.1),10 (7.7),1 (0.1),< 0.001
RSV A,6 (0.6),6 (4.6),–,< 0.001
RSV B,5 (0.5),4 (3.1),1 (0.1),< 0.001
Bocavirus,7 (0.7),4 (3.1),3 (0.4),< 0.001
Adenovirus,5 (0.5),4 (3.1),1 (0.1),< 0.001
Coronavirus,2 (0.2),–,1 (0.1),0.69
Mycoplasma pneumoniae,1 (0.1),–,1 (0.1),0.69
Chlamydophila pneumoniae,1 (0.1),–,1 (0.1),0.69
Co-infections,7 (0.7),4 (3.1),3 (0.4),< 0.001
Negative,759 (78.7),62 (47.7),696 (83.6),< 0.001
Total,964,130,833,–
