0,1,2,3,4,5,6,7,8,9,10,11,12
TABLE 1 Virulence and pathogenesis of PdCV in the piglets,,,,,,,,,,,,
,,,,,,,Gross,,,,,
,,,,,Clinical sign scorec,,,,Histology scoref,,,
,Pig,No. of,,,,ITd,pathology,,,,,
Experiment,typea,piglets,Virus/doseb,Vomiting,Diarrhea,(days),scoree,Lung,Stomach,Duodenum,Jejunum,Ileum
1,Gn,3,CVM1/106 GRC,3,3,1,3,1,2,3,3,3
,Gn,2,Control,0,0,NA,0,0,0,0,0,0
2,Gn,3,MI/106 PFU,1,2,3,2,0.5,1,2,3,3
,Gn,2,MI/indirect,0,2,4,2,0.5,1,2,3,3
,Gn,3,Control,0,0,NA,0,0,0,0,0,0
3,Cv,4,MI/106 PFU,1,3,1,0,0,0,0,0,0
,Cv,4,Control,0,0,NA,0,0,0,0,0,0
"a Gn, gnotobiotic piglets; Cv, conventional piglets.",,,,,,,,,,,,
