0,1,2,3,4,5,6,7,8,9,10,11,12
Table 2.,"Incidence rates (per 100,000 persons) and 95% confidence intervals for influenza-associated SARI by influenza season and sentinel site.",,,,,,,,,,,
Season,2008–2009,2009–2010,,2010–2011,,,2011–2012,,,2012–2013,,
Hospital,Sohar,Sohar,Ibra,Sohar,Ibra,SQH,Sohar,Ibra,SQH,Sohar,Ibra,SQH
0–4 years,14.5,40.9,32.1,48.3,50.4,81.5,29,22.9,40.7,20.9,36.7,3.7
,(7.5–27.8),(35.0–70.9),(15.3–67.3),(33.7–69.0),(27.9–91.1),(53.6–123.7),(18.2–46.0),(9.5–55.1),(22.6–73.5),(12.1–36.0),(18.3–73.4),(0.5–26.3)
5–14 years,0,24.3,9.9,8.1,3.3,16.3,3.5,3.3,5.4,3.5,3.3,0
,,(15.9–37.3),(3.2–30.8),(3.9–17.0),(0.5–23.5),(7.3–36.3),(1.1–10.8),(0.5–23.5),(1.4–21.7),(1.1–10.8),(0.5–23.5),
15–49,0.9,0.9,1.2,3.7,8.7,5.9,0.2,1.9,0.7,3.5,2.5,0
years,,,,,,,,,,,,
,(0.3–2.5),(0.3–2.5),(0.3–5.0),(2.3–6.1),(5.1–14.7),(3.6–9.7),(0.0–1.7),(0.6–5.8),(0.2–3.0),(2.1–5.8),(0.9–6.6),
50–64,9.6,2.4,7.1,16.8,28.4,14.3,7.2,7.1,3.6,21.5,14.2,3.6
years,,,,,,,,,,,,
,(3.6–25.5),(0.3–17.0),(1.0–50.5),(8.0–35.1),(10.7–75.7),(5.4–38.2),(2.3–22.3),(1.0–50.5),(0.5–25.4),(11.2–41.4),(3.6–56.8),(0.5–25.4)
(cid:1) 65 years,5.4,5.4,0,21.4,92.2,24,21.4,0,12,48.2,15.4,0
,(0.8–38.0),(0.8–38.0),,(8.0–57.0),(41.4–205.1),(6.0–96.0),(8.0–57.0),,(1.7–85.2),(25.1–92.6),(2.2–109.0),
All ages,2.8,9.1,5.56,10,15.4,13.5,4.5,4.3,4.6,7.7,6.8,0.5
,(1.8–4.5),(7.0–11.7),(3.2–9.6),(7.8–12.8),(11.1–21.3),(10.3–17.8),(3.2–6.5),(2.3–7.9),(2.9–7.4),(5.8–10.2),(4.2–11.2),(0.1–2.2)
,doi:10.1371/journal.pone.0144186.t002,,,,,,,,,,,
