0,1,2,3
SPI mouse model.,,,
,,Log10 CFU/g of organ,
,,post-infection,
Group,,--------------------------------------------------------------------------------,
(treatment),Day 3,Day 6,Day 9
SPI,6.38±0.24,6.18±0.11,6.30±0.02
SPI-AVEO,6.40±0.10,6.35±0.20,6.22±0.21
(25 µg-24 h),,,
SPI-AVEO,6.35±0.11,6.20±0.16,6.23±0.06
(25 µg-12 h),,,
SPI-AVEO,6.38±0.41,6.26±0.16,6.28±0.12
(50 µg-24 h),,,
SPI-AVEO,6.26±0.10,6.24±0.10,5.28±0.22
(50 µg-12 h),,,
SPI-AVEO,4.66±0.31a,4.23±0.08a,4.72±0.32a
(100 µg-24 h),,,
SPI-AVEO,4.16±0.21b,3.92±0.02a,4.12±0.31b
(100 µg-12 h),,,
SPI-CN,6.35±0.13,6.22±0.09,6.12±0.12
(135 µg-24 h),,,
SPI-CN,6.44±0.11,5.92±0.22,6.28±0.13
(135 µg-12 h),,,
SPI-GN,6.35±0.22,4.32±0.11b,4.77±0.15b
(135 µg-24 h),,,
SPI-GN,4.92±0.07a,4.52±0.22b,4.88±0.31b
(135 µg-12 h),,,
Cip,3.92±0.13a,3.62±0.31b,4.02±0.14a
(50 µg-24 h),,,
Cip,3.32±0.51a,3.52±0.12b,3.38±0.31a
(100 µg-24 h),,,
"S
Negative control",7.22±0.14,7.10±0.11,7.30±0.32
