0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Table 2. Passive tracer concentrations,,,,in wards and nurse station.,,,,,,,,,,,
,,,,location,,,,,,,,,,,
,,,,8104,,8109,,8110,,8111,,8112,,NS,
case W-1T,kg0,kg21,(%),8.84 (cid:2) 1025,(97.7%),1.92 (cid:2) 1025,(2.12%),2.92 (cid:2) 1025,(7.06%),6.39 (cid:2) 1025,(7.06%),8.08 (cid:2) 1025,(8.93%),3.01 (cid:2) 1025,(3.32%)
case W-1,,,,8.88 (cid:2) 1024,(98.1%),1.56 (cid:2) 1025,(1.72%),2.62 (cid:2) 1025,(2.89%),9.63 (cid:2) 1025,(10.7%),1.04 (cid:2) 1024,(11.4%),1.31 (cid:2) 1025,(1.45%)
case W-2,,,,9.05 (cid:2) 1024,(100%),4.21 (cid:2) 1025,(4.65%),4.52 (cid:2) 1025,(4.99%),1.22 (cid:2) 1024,(13.5%),1.33 (cid:2) 1024,(14.7%),1.55 (cid:2) 1025,(1.71)
case W-3,,,,8.43 (cid:2) 1024,(93.2%),1.48 (cid:2) 1025,(1.63%),2.64 (cid:2) 1025,(2.91%),6.02 (cid:2) 1025,(6.65%),5.20 (cid:2) 1025,(5.74%),7.12 (cid:2) 1026,(0.79%)
case WSW-1,,,,6.15 (cid:2) 1024,(68.0%),3.34 (cid:2) 1025,(3.69%),2.07 (cid:2) 1025,(2.29%),1.42 (cid:2) 1026,(0.16%),6.01 (cid:2) 1027,(0.07%),1.19 (cid:2) 1028,(0.00%)
case WSW-2,,,,7.09 (cid:2) 1024,(78.3%),4.61 (cid:2) 1025,(5.10%),4.46 (cid:2) 1025,(4.93%),3.25 (cid:2) 1025,(3.59%),3.17 (cid:2) 1025,(3.50%),5.72 (cid:2) 1027,(0.06%)
case WSW-3,,,,4.77 (cid:2) 1024,(52.7%),3.72 (cid:2) 1025,(4.12%),3.13 (cid:2) 1025,(3.46%),2.25 (cid:2) 1026,(0.25%),1.54 (cid:2) 1026,(0.17%),1.70 (cid:2) 1028,(0.00%)
attack rate,,,,5/5,,7/9,,2/7,,3/7,,3/8,,2/2,
