0,1,2,3,4,5,6,7,8,9
,No. of SARS,,,,,,,,
,patients,,,,,,,,
,,,No. of hospital staff who contracted SARS,,,,,Attack rates (%),
Hospital,admitted to,,,,,,,,
no.a,hospitals,Group N,Group S,Group O,Overall a,Group N,Group S,Group O,Overall b
1,3,0,0,2,2,0.00,0.00,0.73,0.18
2,7,0,0,0,0,0.00,0.00,0.00,0.00
3,17,6,2,0,8,1.19,0.96,0.00,0.79
4,17,0,0,0,0,0.00,0.00,0.00,0.00
5,24,1,3,0,4,0.33,1.29,0.00,0.64
6,29,7,3,1,11,0.95,0.83,0.23,0.71
7,36,2,0,0,2,0.12,0.00,0.00,0.07
8,53,1,2,1,4,0.26,1.80,0.41,0.54
9,82,5,5,1,11,0.42,1.11,0.18,0.50
10,83,8,6,0,14,0.51,1.15,0.00,0.48
11,85,6,6,1,13,0.47,1.41,0.14,0.54
12,114,18,14,4,36,3.58,6.93,1.37,3.61
13,128,15,7,0,22,0.87,1.42,0.00,0.68
14,188,13,14,2,29,1.01,3.36,0.26,1.17
15,326,64,54,2,120,4.66,13.30,0.21,4.38
16,563,35,18,10,63,2.76,3.92,1.53,2.64
Pooled,"1,755",181,134,24,339,1.21,2.73,0.29,1.20
p value,,,,,,< 0.001 c,< 0.001 c,< 0.001 d,< 0.001 c
