0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,,,,,,,,,,,,,Polyoma
,,,,,,Picorna,,,,,,,,,
,,,,,,,,AdV,HBoV,RSV,hMPV,CoV,IV,PIV,Viruses
,,,,,,HRV,EV,,,,,,,,
| www.plospathogens.org,2011 [67],"Autumn, winter, spring",66,6 m–3 y,Healthy,28 (42%),5 (7.6%),4 (6.1%),13 (20%),6 (9.1%),1 (1.5%),5 (6.1%),0 (0%),6 (9.1%),WU 9
,,,,,,,,,,,,,,,(14%); KI 1
,,,,,,,,,,,,,,,(1.5%)
,2011 [99],All year,34,",1 y",Healthy,8 (24%),,,,,,,,,
,,,51,1–4 y,Healthy,7 (14%),,,,,,,,,
,,,69,5–19 y,Healthy,9 (13%),,,,,,,,,
,2011 [95],Winter,30,",1 y",Healthy,6 (18%),0 (0%),1 (3%),3 (9%),2 (6%),0 (0%),6 (18%),2 (6%),0 (0%),
,,,23,1–2 y,Healthy,4 (16%),0 (0%),0 (0%),0 (0%),0 (0%),0 (0%),2 (8%),0 (0%),0 (0%),
,,,97,2–6 y,Healthy,14 (15%),1 (1%),0 (0%),2 (2%),1 (1%),0 (0%),3 (3%),3 (3%),0 (0%),
,2010 [68],All year,570,",2 y",Healthy,94 (17%),,20 (3.5%),,3 (0.5%),0 (0%),8 (3.6%),3 (0.6%),4 (1.8%),
,,,436,",2 y",At risk,103 (24%),,37 (8.5%),,2 (0.5%),3 (1.8%),6 (3.5%),2 (0.5%),3 (1.8%),
,2010 [98],"Autumn, winter",272,",3 y",Rural,,,,,3 (1.1%),1 (0.4%),,2 (0.7%),5 (1.8%),
7,,,,,,,,,,,,,,,
,2010 [97],All year,57,",12 y",Rural,,,,,2 (4%),,,,,
,2010 [100],All year,425,",3 y",At risk,140 (33%),,68 (16%),,18 (4%),29 (7%),15 (4%),3 (1%),13 (3%),
,2009 [101],"Autumn, winter, spring",65,",7 y",Healthy,14 (22%),2 (3%),0 (0%),,0 (0%),0 (0%),5 (8%),0 (0%),,
,2008 [102],All year,116,",14 y",Healthy,11 (9.5%),,5 (4.3%),2 (1.7%),1 (0.8%),1 (0?8%),0 (0%),0 (0%),0 (0%),
,2008 [112],"Autumn, winter, spring",100,#3 y,Healthy,,,,43 (43%),,,,,,
,2007 [103],"Autumn, winter, spring",269,1.5–9.3 y,Healthy,29 (11%),,,,2 (1%),,2 (1%),1 (0%),1 (0%),
,2006 [96],All year,456,",1 y",High risk of atopy,52 (11%),,2 (0%),,24 (5%),1 (0%),20 (4%),0 (0%),4 (1%),
,2006 [104],All yearc,410,1–9 y,Healthy,37 (9%)d,,,,,,,,,
,2004 [94],NS,70,5 m,Healthy,12 (17%),,,,2 (3%),,3 (4%),1 (1%),1 (1%),
,,,64,1 y,Healthy,18 (28%),,,,0 (0%),,0 (0%),0 (0%),0 (0%),
January 2013 | Volume 9 |,,,38,1.5 y,Healthy,10 (26%),,,,0 (0%),,0 (0%),0 (0%),0 (0%),
,,,49,2 y,Healthy,7 (14%),,,,0 (0%),,1 (2%),0 (0%),0 (0%),
