0,1,2,3,4
"Eur J Clin Microbiol
Infect Dis (2010) 29:365–371",,,,367
Table 1 Characteristics of,infants during the first airway infection,,,
Characteristics,"All
infants (N=98)",Rhinovirus detected (n=67),,RSV detected (n=39)
Median age in days (range),104 (33–269),99 (33–269),115 (51–269),
"Median days of
illness at
time sampling (range)",3.5 (2–31)c,4 (2–16),4 (2–12),
% male,58%,60%,62%,
Symptoms,,,,
Rhinorrhoea,,,,
None,15%,15%,18%,
Mild,55%,58%,46%,
Moderate–severe,30%,27%,36%,
Cough,,,,
None,17%,18%,5%,
Mild,36%,46%,28%,
Moderate,37%,30%,46%,
Severe,10%,6%,21%,
Wheezinga,8%,6%,10%,
Fever >38°C,17%,12%,23%,
Hoarseness,28%,22%,31%,
Apnoeab,3%,2%,5%,
Cyanosis,1%,0%,3%,
Retractions,6%,3%,5%,
Tachypnoea,20%,16%,28%,
Median sum score (range),3 (0–25),3 (0–15),4 (1–25),
0–4,64%,72%,56%,
5–10,25%,22%,26%,
>10,11%,6%,18%,
