0,1,2,3,4,5,6,7,8
TA B L E   1  Demographics of the study cohort,,,,,,,,
,Children,Parents,Teenagers,Teachers,Peds ED,Adult ED,Medical Center,All Cohorts
,n %,n %,n %,n %,n %,n %,n %,n %
Enrolled,35 (16.4),20 (9.3),42 (19.6),15 (7.0),22 (10.3),11 (5.2),69 (32.2),214 (100)
Total samples,1016 (24.1),524(12.4),361 (8.6),248 (5.9),537 (12.7),103 (2.4),1426 (33.8),4215 (100)
Years (% per cohort),,,,,,,,
One,8 (22.9),8 (40.0),33 (78.6),7 (46.6),11 (50.0),0 (0),15 (21.7),82 (38.3)
Two,10 (28.6),6 (30.0),9 (21.4),1 (6.7),2 (9.1),11 (100),41 (59.4),80 (37.4)
Both,17 (48.5),6 (30.0),0 (0),7 (46.6),9 (40.9),0 (0),13 (18.9),52 (24.3)
Gender (% per cohort),,,,,,,,
Male,17 (48.6),3 (15.0),27 (64.3),8 (53.3),7 (31.8),4 (36.4),27(39.1),93 (43.5)
Female,18 (51.4),17 (85.0),15 (35.7),7 (46.7),15 (68.2),7 (63.6),41 (59.4),120 (56.0)
Transgender,0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),1 (1.5),1 (0.5)
Age,,,,,,,,
Range,0- 9,24- 43,14- 18,24- 38,24- 61,25- 63,20- 63,0- 63
Median,3,33,14,27,39,33.5,26,25
Hispanic (% per cohort),,,,,,,,
Yes,25 (71.4),8 (40.0),20 (47.6),2 (13.3),1 (4.5),0 (0),12 (17.4),68 (31.8)
No,10 (28.6),10 (50.0),21 (50.0),13 (86.7),21(95.5),11 (100),57 (82.6),143 (66.8)
Don’t know,0 (0),2 (10.10),1 (2.4),0 (0),0 (0),0 (0),0 (0),3 (1.4)
Race (% per cohort),,,,,,,,
White,3 (8.6),4 (20.0),1 (2.4),9 (60.0),18 (81.8),5 (45.5),37 (53.6),77 (36.0)
African,3 (8.6),2 (10.0),21 (50.0),4 (26.7),0 (0),2 (18.2),4 (5.8),36 (16.8)
American,,,,,,,,
Asian,3 (8.6),3 (15.0),2 (4.8),1 (6.7),3 (13.6),3 (27.3),21 (30.4),36 (16.8)
American,19 (54.2),5 (25.0),1 (2.4),0 (0),0 (0),0 (0),1 (1.5),26 (12.1)
Indian,,,,,,,,
Other Pacific,0 (0),0 (0),1 (2.4),0 (0),0 (0),0 (0),0 (0),1 (0.5)
Other or mixed,7 (20.0),6 (30.0),10 (23.8),1 (6.7),0 (0),1 (9.0),5 (7.2),30 (14.0)
Don’t know,0 (0),0 (0),6 (14.3),0 (0),1 (4.6),0 (0),1 (1.5),8 (3.7)
