0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"Table 3 Outcomes of pneumonia surveillance system in Changsha City, China",,,,,,,,,,,,,,
Year,Surveilled,Number of,Number of,Number,,Number of positive,,,,,,,,
,patients,pneumonia,severe / death,of tested,,,,,,,,,,
,,,,,H3N2,H1N1,H1N1pdm,A (untyped),B,H5N1,H5N6,H7N9,H9N2,Total
,,cases,cases,specimens,,,,,,,,,,
2009,"394,683","27,388",1892,2944,69,17,1794,102,0,0,0,0,0,1982
2010,"650,244","30,503",3431,136,1,0,9,1,6,0,0,0,0,17
2011,"748,361","34,602",4537,142,0,0,29,0,5,0,0,0,0,34
2012,"820,482","39,831",4890,10,3,0,0,0,0,0,0,0,0,3
2013,"883,769","47,283",6250,29,0,0,0,0,0,0,0,1,0,1
2014,"798,792","62,726",7041,81,5,0,21,0,4,0,0,7,0,37
2015,"672,289","67,205",5765,16,0,0,0,0,0,0,0,0,0,0
2016,"522,940","53,205",4454,43,0,0,18,0,1,0,1,0,0,20
Total,"5,491,560","362,743","38,260",3401,78,17,1871,103,16,0,1,8,0,2094
